"Action","VariantIndex","Key","TypeName","Value"
"Skill001","2","DAMAGE.HIT_COUNT","System.Int32","1"
"Skill001","2","DAMAGE.DAMAGE_PERCENT","Project.ValuePercent","220"
"Skill001","2","DAMAGE.DAMAGE_FIRST_PERCENT","Project.ValuePercent","220"
"Skill001","2","KNOCKBACK.STRENGTH","System.Int32","4"
"Skill001","3","TARGET_COUNT","System.Int32","3"
"Skill001","3","DAMAGE.HIT_COUNT","System.Int32","1"
"Skill001","3","DAMAGE.DAMAGE_PERCENT","Project.ValuePercent","220"
"Skill001","3","DAMAGE.DAMAGE_FIRST_PERCENT","Project.ValuePercent","220"
"Skill001","3","KNOCKBACK.STRENGTH","System.Int32","4"
"Skill001","4","TARGET_COUNT","System.Int32","3"
"Skill001","4","DAMAGE.HIT_COUNT","System.Int32","1"
"Skill001","4","DAMAGE.DAMAGE_PERCENT","Project.ValuePercent","220"
"Skill001","4","DAMAGE.DAMAGE_FIRST_PERCENT","Project.ValuePercent","220"
"Skill001","4","KNOCKBACK.STRENGTH","System.Int32","4"
"Skill001","5","TARGET_COUNT","System.Int32","3"
"Skill001","5","DAMAGE.HIT_COUNT","System.Int32","1"
"Skill001","5","DAMAGE.DAMAGE_PERCENT","Project.ValuePercent","220"
"Skill001","5","DAMAGE.DAMAGE_FIRST_PERCENT","Project.ValuePercent","220"
"Skill001","5","KNOCKBACK.STRENGTH","System.Int32","4"
"Skill001","6","TARGET_COUNT","System.Int32","3"
"Skill001","6","DAMAGE.HIT_COUNT","System.Int32","1"
"Skill001","6","DAMAGE.DAMAGE_PERCENT","Project.ValuePercent","220"
"Skill001","6","DAMAGE.DAMAGE_FIRST_PERCENT","Project.ValuePercent","220"
"Skill001","6","KNOCKBACK.STRENGTH","System.Int32","4"
"Skill001","7","TARGET_COUNT","System.Int32","3"
"Skill001","7","DAMAGE.HIT_COUNT","System.Int32","1"
"Skill001","7","DAMAGE.DAMAGE_PERCENT","Project.ValuePercent","220"
"Skill001","7","DAMAGE.DAMAGE_FIRST_PERCENT","Project.ValuePercent","220"
"Skill001","7","KNOCKBACK.STRENGTH","System.Int32","4"
"Skill001","8","TARGET_COUNT","System.Int32","3"
"Skill001","8","DAMAGE.HIT_COUNT","System.Int32","1"
"Skill001","8","DAMAGE.DAMAGE_PERCENT","Project.ValuePercent","220"
"Skill001","8","DAMAGE.DAMAGE_FIRST_PERCENT","Project.ValuePercent","220"
"Skill001","8","KNOCKBACK.STRENGTH","System.Int32","4"
"Skill001","9","TARGET_COUNT","System.Int32","3"
"Skill001","9","DAMAGE.HIT_COUNT","System.Int32","1"
"Skill001","9","DAMAGE.DAMAGE_PERCENT","Project.ValuePercent","220"
"Skill001","9","DAMAGE.DAMAGE_FIRST_PERCENT","Project.ValuePercent","220"
"Skill001","9","KNOCKBACK.STRENGTH","System.Int32","4"
"Skill001","10","TARGET_COUNT","System.Int32","3"
"Skill001","10","DAMAGE.HIT_COUNT","System.Int32","1"
"Skill001","10","DAMAGE.DAMAGE_PERCENT","Project.ValuePercent","220"
"Skill001","10","DAMAGE.DAMAGE_FIRST_PERCENT","Project.ValuePercent","220"
"Skill001","10","KNOCKBACK.STRENGTH","System.Int32","4"
"Skill002","1","DAMAGE.HIT_COUNT","System.Int32","1"
"Skill002","1","DAMAGE.DAMAGE_PERCENT","Project.ValuePercent","300"
"Skill002","1","DAMAGE.DAMAGE_FIRST_PERCENT","Project.ValuePercent","300"
"Skill002","1","KNOCKBACK.STRENGTH","System.Int32","8"
"Skill002","1","KNOCKBACK.STRENGTH","System.Int32","0"
"Skill002","2","DAMAGE.HIT_COUNT","System.Int32","1"
"Skill002","2","DAMAGE.DAMAGE_PERCENT","Project.ValuePercent","300"
"Skill002","2","DAMAGE.DAMAGE_FIRST_PERCENT","Project.ValuePercent","300"
"Skill002","2","KNOCKBACK.STRENGTH","System.Int32","8"
"Skill002","2","KNOCKBACK.STRENGTH","System.Int32","0"
"Skill002","3","DAMAGE.HIT_COUNT","System.Int32","1"
"Skill002","3","DAMAGE.DAMAGE_PERCENT","Project.ValuePercent","300"
"Skill002","3","DAMAGE.DAMAGE_FIRST_PERCENT","Project.ValuePercent","300"
"Skill002","3","KNOCKBACK.STRENGTH","System.Int32","8"
"Skill002","3","KNOCKBACK.STRENGTH","System.Int32","0"
"Skill002","4","DAMAGE.HIT_COUNT","System.Int32","1"
"Skill002","4","DAMAGE.DAMAGE_PERCENT","Project.ValuePercent","300"
"Skill002","4","DAMAGE.DAMAGE_FIRST_PERCENT","Project.ValuePercent","300"
"Skill002","4","KNOCKBACK.STRENGTH","System.Int32","8"
"Skill002","4","KNOCKBACK.STRENGTH","System.Int32","0"
"Skill002","5","DAMAGE.HIT_COUNT","System.Int32","1"
"Skill002","5","DAMAGE.DAMAGE_PERCENT","Project.ValuePercent","300"
"Skill002","5","DAMAGE.DAMAGE_FIRST_PERCENT","Project.ValuePercent","300"
"Skill002","5","KNOCKBACK.STRENGTH","System.Int32","8"
"Skill002","5","KNOCKBACK.STRENGTH","System.Int32","0"
"Skill002","6","DAMAGE.HIT_COUNT","System.Int32","1"
"Skill002","6","DAMAGE.DAMAGE_PERCENT","Project.ValuePercent","300"
"Skill002","6","DAMAGE.DAMAGE_FIRST_PERCENT","Project.ValuePercent","300"
"Skill002","6","KNOCKBACK.STRENGTH","System.Int32","8"
"Skill002","6","KNOCKBACK.STRENGTH","System.Int32","0"
"Skill002","7","DAMAGE.HIT_COUNT","System.Int32","1"
"Skill002","7","DAMAGE.DAMAGE_PERCENT","Project.ValuePercent","300"
"Skill002","7","DAMAGE.DAMAGE_FIRST_PERCENT","Project.ValuePercent","300"
"Skill002","7","KNOCKBACK.STRENGTH","System.Int32","8"
"Skill002","7","KNOCKBACK.STRENGTH","System.Int32","0"
"Skill002","8","DAMAGE.HIT_COUNT","System.Int32","1"
"Skill002","8","DAMAGE.DAMAGE_PERCENT","Project.ValuePercent","300"
"Skill002","8","DAMAGE.DAMAGE_FIRST_PERCENT","Project.ValuePercent","300"
"Skill002","8","KNOCKBACK.STRENGTH","System.Int32","8"
"Skill002","8","KNOCKBACK.STRENGTH","System.Int32","0"
"Skill002","9","DAMAGE.HIT_COUNT","System.Int32","1"
"Skill002","9","DAMAGE.DAMAGE_PERCENT","Project.ValuePercent","300"
"Skill002","9","DAMAGE.DAMAGE_FIRST_PERCENT","Project.ValuePercent","300"
"Skill002","9","KNOCKBACK.STRENGTH","System.Int32","8"
"Skill002","9","KNOCKBACK.STRENGTH","System.Int32","0"
"Skill002","10","DAMAGE.HIT_COUNT","System.Int32","1"
"Skill002","10","DAMAGE.DAMAGE_PERCENT","Project.ValuePercent","300"
"Skill002","10","DAMAGE.DAMAGE_FIRST_PERCENT","Project.ValuePercent","300"
"Skill002","10","KNOCKBACK.STRENGTH","System.Int32","8"
"Skill002","10","KNOCKBACK.STRENGTH","System.Int32","0"
"Skill002Failure","1","KNOCKBACK.STRENGTH","System.Int32","0"
"Skill002Failure","2","KNOCKBACK.STRENGTH","System.Int32","0"
"Skill002Failure","3","KNOCKBACK.STRENGTH","System.Int32","0"
"Skill002Failure","4","KNOCKBACK.STRENGTH","System.Int32","0"
"Skill002Failure","5","KNOCKBACK.STRENGTH","System.Int32","0"
"Skill002Failure","6","KNOCKBACK.STRENGTH","System.Int32","0"
"Skill002Failure","7","KNOCKBACK.STRENGTH","System.Int32","0"
"Skill002Failure","8","KNOCKBACK.STRENGTH","System.Int32","0"
"Skill002Failure","9","KNOCKBACK.STRENGTH","System.Int32","0"
"Skill002Failure","10","KNOCKBACK.STRENGTH","System.Int32","0"
"ModeChange","1","KNOCKBACK.STRENGTH","System.Int32","0"
"ModeChange","2","KNOCKBACK.STRENGTH","System.Int32","0"
"ModeChange","3","KNOCKBACK.STRENGTH","System.Int32","0"
"ModeChange","4","KNOCKBACK.STRENGTH","System.Int32","0"
"ModeChange","5","KNOCKBACK.STRENGTH","System.Int32","0"
"ModeChange","6","KNOCKBACK.STRENGTH","System.Int32","0"
"ModeChange","7","KNOCKBACK.STRENGTH","System.Int32","0"
"ModeChange","8","KNOCKBACK.STRENGTH","System.Int32","0"
"ModeChange","9","KNOCKBACK.STRENGTH","System.Int32","0"
"ModeChange","10","KNOCKBACK.STRENGTH","System.Int32","0"
