"id","name","rarity","original_m_character_id","element_type","party_position","weapon_type","armor_type","union_type","attack","defence","hp","move_speed","chain_count","chain_waits","chain_interval","critical_probability","critical_damage_ratio","attack_continuous_probability","avoid_probability","knockback_power","knockback_resist","extra_drop_probability","skill_charge","skill_tag","mana_type","open_at"
"1300037","クリスティ","3","1072","6","2","1060","2020","2","436","211","799","3000","1","2500","30000","50","1500","0","0","0","0","0","60","1","3","2026-07-17 13:00:00"
"1300040","リコリット","3","1076","2","2","1070","2020","1","282","260","817","3000","1","2500","30000","50","1500","0","0","0","0","0","60","3","2","2026-09-14 10:00:00"
"1300041","メリッサ","3","1077","4","3","1080","2030","1","264","380","809","3000","1","2500","30000","50","1500","0","0","0","0","0","60","4","2","2026-01-01 15:00:00"
"1300049","【水着】クルル","3","1067","3","1","1020","2010","4","356","294","835","3000","1","2500","30000","50","1500","0","0","0","0","0","40","1","2","2026-07-31 13:00:00"
"1300050","【水着】ニナ","3","1061","1","2","1040","2020","2","381","269","707","3000","1","2500","30000","50","1500","200","0","0","0","0","50","1","3","2026-07-31 13:00:00"
"1300051","【水着】ホノカ","3","1063","2","2","1060","2020","4","400","264","720","3000","1","2500","30000","50","1500","0","0","0","0","0","50","1","2","2026-08-10 13:00:00"
"1300052","【水着】ヘイリー","3","1042","6","3","1080","2030","4","340","320","770","3000","1","2500","30000","50","1500","0","0","0","0","0","50","1","3","2026-08-15 10:00:00"
"1300053","ナイア","3","1103","6","1","1020","2010","3","335","324","816","3000","1","2500","30000","50","1500","0","0","0","0","0","40","2","3","2026-08-31 13:00:00"
"1300054","ユーリ","3","1022","3","3","1080","2030","1","327","327","785","3000","1","2500","30000","50","1500","0","0","0","0","0","50","5","2","2026-08-31 13:00:00"
"1300055","フェルトゥーナ","3","1100","5","2","1060","2020","4","436","224","762","3000","1","2500","30000","50","1500","0","0","0","0","0","9999","1","3","2026-09-09 13:00:00"
