"id","m_character_id","trigger_type","name","description"
"1100006001","1100006","30","清泉の癒し","会心率UPが【{[CRITICALUP.FIXED_PERCENT]} / 15秒】に変化 / 紋章：情熱が5以上のとき、自身に攻撃力UP【{[ZEAL.ATTACKUP.RATE_PERCENT]} / 永続】を付与"
"1100007000","1100007","20","私刑執行","自身の前方範囲内にいる敵全体に【1HIT / 合計{[DAMAGE.DAMAGE_PERCENT]}】ダメージ"
"1100007001","1100007","30","私刑執行","ダメージ倍率が【{[DAMAGE.DAMAGE_PERCENT]}】に変化 / 紋章：情熱が5以上のとき、自身に攻撃力UP【{[ZEAL.ATTACKUP.RATE_PERCENT]} / 永続】を付与"
"1100008000","1100008","20","ガチ恋エール","味方フロントからランダム1体に会心率UP【{[PRJCTL.THROW.CRITICALUP.FIXED_PERCENT]} / 10秒】を付与"
"1100008001","1100008","30","ガチ恋エール","紋章：衝撃を5消費し、味方フロント全体に会心ダメージ倍率UP【{[PRJCTL.THROW.IMPACT.CRITICALDAMAGERATEUP.FIXED_PERCENT]}/ 10秒】を付与"
"1100009000","1100009","20","お手製爆弾","最も近い敵1体に【1HIT / 合計{[PRJCTL.LAND.DAMAGE.DAMAGE_PERCENT]}】ダメージ / 防御力DOWN【{[PRJCTL.LAND.DEFENCEDOWN.RATE_PERCENT]} / 15秒】を付与"
"1100009001","1100009","30","お手製爆弾","自身に紋章：情熱を【3】付与 / 紋章：情熱が5以上のとき、火・水・土属性の味方フロント全体に紋章：情熱を【1】付与"
"1100010000","1100010","20","霊符解放","自身の前方範囲内にいる敵全体に【1HIT / 合計{[DAMAGE.DAMAGE_PERCENT]}】ダメージ"
"1100010001","1100010","30","霊符解放","紋章：衝撃を5消費し、自身に最大HP【{[IMPACT.RECOVER.HEAL_PERCENT]}】分の回復"
"1100011000","1100011","20","エクスプロージョンバレット","最も近い敵を中心とした範囲内にいる敵全体に【1HIT / 合計{[DAMAGE.DAMAGE_PERCENT]}】ダメージ"
"1100011001","1100011","30","エクスプロージョンバレット","自身に紋章：情熱を【3】付与 / 紋章：情熱が5以上のとき、対象に炎上【{[ZEAL.ABNORMAL.DURATION]秒} / 成功率:50%】を付与"
"1100012000","1100012","20","ターゲット・ロックオン","最も遠い敵1体に【1HIT / 合計{[PRJCTL.THROW.DAMAGE.DAMAGE_PERCENT]}】ダメージ"
"1100012001","1100012","30","ターゲット・ロックオン","ダメージ倍率が【{[PRJCTL.THROW.DAMAGE.DAMAGE_PERCENT]}】に変化 / 紋章：情熱が5以上のとき、防御力DOWN【15% / {[PRJCTL.THROW.ZEAL .DEFENCEDOWN.DURATION]秒}】を付与"
"1100013000","1100013","20","スパーキング・スラッシュ","自身の前方範囲内にいる敵全体に【10HIT / 合計{[DAMAGE.DAMAGE_PERCENT]}】ダメージ / 自身にスキルチャージ効率UP【10% / 15秒】を付与"
"1100013001","1100013","30","スパーキング・スラッシュ","ダメージ倍率が【{[DAMAGE.DAMAGE_PERCENT]}】に変化 / 紋章：情熱が5以上のとき、自身のスキルを【{[SKILLCHARGEQUANTITYUP.RATE_PERCENT]}】チャージ"
"1100014000","1100014","20","百花繚乱","自身に最大HP【10%】分の回復 / 最も近い敵1体に【6HIT / 合計{[DAMAGE.DAMAGE_PERCENT]}】ダメージ / 自身に紋章：情熱を【1】付与"
"1100014001","1100014","30","百花繚乱","最大HP【{[RECOVER.HEAL_PERCENT]}】分の回復に変化"
"1100015000","1100015","20","ガーディアン・クリスタル","味方フロント全体に防御力UP【{[DEFENCEUP.RATE_PERCENT]} / 15秒】を付与"
"1100015001","1100015","30","ガーディアン・クリスタル","紋章：衝撃を5消費し、光・闇・無属性の味方フロント全体に紋章：衝撃を【2】付与"
"1100016000","1100016","20","アイスワークス","最もHPが高い敵1体に【1HIT / 合計{[PRJCTL.LAND.DAMAGE.DAMAGE_PERCENT]}】ダメージ / 自身に紋章：情熱を【5】付与 / 凍結【10秒 / 成功率:50%】を付与"
"1100016001","1100016","30","アイスワークス","凍結が【15秒 / 成功率:50%】に変化"
"1200001000","1200001","20","セレスティアルスラッシュ","最もHPが高い敵1体に【6HIT / 合計{[DAMAGE.DAMAGE_PERCENT]}】ダメージ"
"1200001001","1200001","30","セレスティアルスラッシュ","紋章：衝撃を5消費し、ダメージ倍率が【{[IMPACTSUCCEED.DAMAGE.DAMAGE_PERCENT]}】に変化"
"1200002000","1200002","20","ファイアボール","最も近い敵を中心とした範囲内にいる敵全体に【1HIT / 合計{[PRJCTL.LAND.DAMAGE.DAMAGE_PERCENT]}】ダメージ"
"1200002001","1200002","30","ファイアボール","さらに自身に紋章：情熱を【3】付与 / 攻撃力UP【10% / {[ATTACKUP.DURATION]秒}】を付与"
"1200003000","1200003","20","ヒールポーション","HPが最も低い味方を中心とした範囲内にいる味方全体に通常回復の【{[PRJCTL.AOE.RECOVER.HEAL_PERCENT]}】回復 / 自身に紋章：情熱を【2】付与"
"1200003001","1200003","30","ヒールポーション","回復倍率が【{[PRJCTL.AOE.RECOVER.HEAL_PERCENT]}】に変化 / 対象の火・水・土属性の味方全体に紋章：情熱を【1】付与"
"1200004000","1200004","20","スモークバースト","最も近い敵を中心とした範囲内にいる敵全体に【1HIT / 合計{[PRJCTL.AOE.DAMAGE.DAMAGE_PERCENT]}】ダメージ / 自身に紋章：衝撃を【2】付与"
"1200004001","1200004","30","スモークバースト","紋章：衝撃を5消費し、対象に防御力DOWN【{[IMPACTSUCCEED.PRJCTL.AOE.DEFENCEDOWN.RATE_PERCENT]} / 20秒】を付与"
"1200005000","1200005","20","魅惑の矢","最もHP割合が高い敵1体に【1HIT / 合計{[PRJCTL.THROW.DAMAGE.DAMAGE_PERCENT]}】ダメージ / 魅了【{[PRJCTL.THROW.ABNORMAL.DURATION]秒} / 成功率:50%】を付与"
"1200005001","1200005","30","魅惑の矢","魅了の付与秒数が【{[PRJCTL.THROW.ABNORMAL.DURATION]秒}】に変化 / 紋章：衝撃を5消費し、ダメージ倍率が【{[PRJCTL.THROW.IMPACTSUCCEED.DAMAGE.DAMAGE_PERCENT]}】に変化"
"1200006000","1200006","20","水の型・逆袈裟","最も近い敵1体に【4HIT / 合計{[DAMAGE.DAMAGE_PERCENT]}】ダメージ"
"1200006001","1200006","30","水の型・逆袈裟","ダメージ倍率が【{[DAMAGE.DAMAGE_PERCENT]}】に変化 / 紋章：情熱が5以上のとき、自身に最大HP【{[ZEAL.RECOVER.HEAL_PERCENT]}】分の回復"
"1200008000","1200008","20","雷閃","ランダムな敵1体に【1HIT / 合計{[DAMAGE.DAMAGE_PERCENT:1]}】ダメージを与える攻撃を3回行う"
"1200008001","1200008","30","雷閃","ダメージ倍率が【{[DAMAGE.DAMAGE_PERCENT:1]}】に変化 / 紋章：衝撃を5消費し、麻痺【10秒 / 成功率:{[IMPACTSUCCEED.ABNORMAL.APPLY_PROBABILITY:1]}】を付与"
"1200011000","1200011","20","聖女の祈り","味方全体に自身の最大HP【{[RECOVER.HEAL_PERCENT]}】分の回復"
"1200011001","1200011","30","聖女の祈り","紋章：衝撃を5消費し、さらに自身の最大HP【{[IMPACT.RECOVER.HEAL_PERCENT]}】分の回復"
"1200012000","1200012","20","瞬きの死","最も近い敵1体に【4HIT / 合計{[DAMAGE.DAMAGE_PERCENT]}】ダメージ"
"1200012001","1200012","30","瞬きの死","ダメージ倍率が【{[DAMAGE.DAMAGE_PERCENT]}】に変化 / 紋章：衝撃を5消費し、防御力DOWN【{[IMPACT.DEFENCEDOWN.RATE_PERCENT]} / 15秒】を付与"
"1200013000","1200013","20","魔眼の一突き","最も近い敵1体に【1HIT / 合計{[DAMAGE.DAMAGE_PERCENT]}】ダメージ"
"1200013001","1200013","30","魔眼の一突き","さらに自身に挑発【25秒】を付与 / 紋章：衝撃を5消費し、自身に最大HP【{[IMPACT.BARRIER.RATE]}】分のバリア【15秒】を付与"
"1200014000","1200014","20","マジカルスモーキング","味方全体に攻撃力UP【{[ATTACKUP.RATE_PERCENT]} / 15秒】を付与 / 自身に紋章：情熱を【1】付与"
"1200014001","1200014","30","マジカルスモーキング","さらにマナを【{[MANA_CHARGE.CHARGE_VALUE]}】チャージ"
"1200015000","1200015","20","バーニングナックル","自身の前方範囲内にいる敵全体に【1HIT / 合計{[DAMAGE.DAMAGE_PERCENT]}】ダメージ / 自身に紋章：情熱を【1】付与"
"1200015001","1200015","30","バーニングナックル","さらに対象に炎上【{[ABNORMAL.DURATION]秒} / 成功率:50%】を付与"
"1200016000","1200016","20","ソードオブマーキス","自身の前方範囲内にいる敵全体に【1HIT / 合計{[DAMAGE.DAMAGE_PERCENT]}】ダメージ"
"1200016001","1200016","30","ソードオブマーキス","紋章：衝撃を5消費し、自身に防御力UP【{[IMPACTSUCCEED.DEFENCEUP.RATE_PERCENT]} / 15秒】を付与 / ダメージ倍率が【{[IMPACTSUCCEED.DAMAGE.DAMAGE_PERCENT]}】に変化"
"1200017000","1200017","20","ノヴァブラスト","自身の前方範囲内にいる敵全体に【15HIT / 合計{[DAMAGE.DAMAGE_PERCENT]}】ダメージ"
"1200017001","1200017","30","ノヴァブラスト","自身に攻撃力UP【{[ATTACKUP.RATE_PERCENT]}  / 15秒】を付与 / 紋章：衝撃を5消費し、ダメージ倍率が【{[IMPACTSUCCEED.DAMAGE.DAMAGE_PERCENT]}】に変化"
"1200018000","1200018","20","ワイルドラッシュ","最もHPが高い敵1体に【6HIT / 合計{[DAMAGE.DAMAGE_PERCENT]}】ダメージ"
"1200018001","1200018","30","ワイルドラッシュ","ダメージ倍率が【{[DAMAGE.DAMAGE_PERCENT]}】に変化 / 紋章：情熱が5以上のとき、自身に会心率UP【20% / {[ZEAL.CRITICALUP.DURATION]秒}】を付与"
"1200019000","1200019","20","冥府への使役","最も遠い敵を中心とした範囲内にいる敵全体に【1HIT / 合計{[PRJCTL.LAND.DAMAGE.DAMAGE_PERCENT]}】ダメージ  /  石化【{[PRJCTL.LAND.ABNORMAL.DURATION]秒} / 成功率:20%】を付与"
"1200019001","1200019","30","冥府への使役","自身に紋章：衝撃を【3】付与  /  紋章：衝撃を5消費し、石化の成功率が【{[PRJCTL.LAND.IMPACTSUCCEED.ABNORMAL.APPLY_PROBABILITY]}】に変化"
"1300001000","1300001","20","バーニングロンド","HPが最も高い敵1体に【8HIT / 合計{[DAMAGE.DAMAGE_PERCENT]}】ダメージ / 自身に紋章：情熱を【1】付与"
"1300001001","1300001","30","バーニングロンド","ダメージ倍率が【{[DAMAGE.DAMAGE_PERCENT]}】に上昇 / 紋章：情熱が5以上のとき、自身のスキルを【{[ZEAL.SKILL_CHARGE.CHARGE_VALUE]}】チャージ"
"1300003000","1300003","20","シルバーバレット","自身の前方範囲内にいる敵全体に【1HIT / 合計{[PRJCTL.THROW.DAMAGE.DAMAGE_PERCENT]}】ダメージ"
"1300003001","1300003","30","シルバーバレット","紋章：衝撃を5消費し、ダメージ倍率が【{[PRJCTL.THROW.IMPACTSUCCEED.DAMAGE.DAMAGE_PERCENT]}】に変化"
"1300004000","1300004","20","カースドポーション","最も近い敵を中心とした範囲内にいる敵全体に【1HIT / 合計{[PRJCTL.LAND.DAMAGE.DAMAGE_PERCENT]}】ダメージ / 攻撃力DOWN【{[PRJCTL.LAND.ATTACKDOWN.RATE_PERCENT]} / 15秒】を付与"
"1300004001","1300004","30","カースドポーション","紋章：衝撃を5消費し、対象に魅了【{[PRJCTL.LAND.IMPACTSUCCEED.ABNORMAL.DURATION]秒} / 成功率:100%】を付与"
"1300005000","1300005","20","ゴーストライド","自身にノワール憑依【5秒】と紋章：衝撃を【1】付与 / 自身の前方範囲内にいる敵全体に【1HIT / 合計{[DAMAGE.DAMAGE_PERCENT]}】ダメージ"
"1300005001","1300005","30","ゴーストライド","自身に会心ダメージ倍率UP【{[CRITICALDAMAGERATEUP.FIXED_PERCENT]} / 15秒】を付与 / 紋章：衝撃を5消費し、ノワール憑依が【20秒】に変化 / ダメージ倍率が【{[IMPACTSUCCEED.DAMAGE.DAMAGE_PERCENT]}】に変化"
"1300006000","1300006","20","ドリルミサイル","自身に紋章：情熱を【1】付与 / HPが最も高い敵1体に【1HIT / 合計{[PRJCTL.LAND.DAMAGE.DAMAGE_PERCENT]}】ダメージ"
"1300006001","1300006","30","ドリルミサイル","ダメージ倍率が【{[ZEALOVER.PRJCTL.LAND.DAMAGE.DAMAGE_PERCENT]}】に変化 / 紋章：情熱が10以上のとき、対象に防御力DOWN【{[ZEALOVER.PRJCTL.LAND.DEFENCEDOWN.RATE_PERCENT]} / {[ZEALOVER.PRJCTL.LAND.DEFENCEDOWN.DURATION]}秒】を付与"
"1300007000","1300007","20","ヴァーミリオンアロー","最も近い敵1体に【4HIT / 合計{[PRJCTL.LAND.DAMAGE.DAMAGE_PERCENT]}】ダメージ / 自身に紋章：情熱を【1】付与"
"1300007001","1300007","30","ヴァーミリオンアロー","ダメージ倍率が【{[PRJCTL.LAND.DAMAGE.DAMAGE_PERCENT]}】に変化"
"1300008000","1300008","20","レーザーガトリング","自身の前方範囲内にいる敵全体に【15HIT / 合計{[DAMAGE.DAMAGE_PERCENT]}】ダメージ / 自身に紋章：衝撃を【3】付与"
"1300008001","1300008","30","レーザーガトリング","紋章：衝撃を5消費し、ダメージ倍率が【{[IMPACTSUCCEED.DAMAGE.DAMAGE_PERCENT]}】に変化"
"1300009000","1300009","20","フロストスパイク","敵1体を中心とした範囲内にいる敵全体に【2HIT / 合計{[PRJCTL.LAND.DAMAGE.DAMAGE_PERCENT]}】ダメージ / 対象に凍結【{[PRJCTL.LAND.ABNORMAL.DURATION]秒} / 成功率:50%】を付与"
"1300009001","1300009","30","フロストスパイク","紋章：情熱が5以上のとき、凍結の付与秒数が【{[PRJCTL.LAND.ZEAL.ABNORMAL.DURATION]秒}】に変化"
"1300010000","1300010","20","ライトニングアロー","HPが最も高い敵1体に【1HIT / 合計{[PRJCTL.LAND.DAMAGE.DAMAGE_PERCENT]}】ダメージ / 麻痺【[PRJCTL.LAND.ABNORMAL.DURATION]秒/成功率:{[PRJCTL.LAND.ABNORMAL.APPLY_PROBABILITY]}】を付与"
"1300010001","1300010","30","ライトニングアロー","自身に会心率UP【{[CRITICALUP.FIXED_PERCENT]} / 15秒】を付与 / 紋章：衝撃を10消費し、ダメージ倍率が【{[IMPACTSUCCEED.PRJCTL.LAND.DAMAGE.DAMAGE_PERCENT]}】に変化 / 麻痺の効果時間が【7秒】に変化"
"1300011000","1300011","20","ピコピコントロール","味方バック全体にスキル与ダメージUP【{[SKILLDAMAGEUP.RATE_PERCENT]}  / 30秒】を付与 / 光・闇・無属性の味方バック全体と自身に紋章：衝撃を【3】付与"
"1300011001","1300011","30","ピコピコントロール","さらに紋章：衝撃を5消費し、最も攻撃力の高い光・闇・無属性の味方1体に衝撃消費無効1回【永続】を付与"
"1300014000","1300014","20","カノンコール","自身のパラメーターの【{[SUMMON_SERVANT.PARAM_RATIO]}】を引き継ぐ大砲を【40秒】召喚  / 自身に紋章：情熱を【1】付与"
"1300014001","1300014","30","カノンコール","紋章：情熱が5以上のとき、自身に連撃率UP【20% / {[ZEAL.ATTACKCONTINUOUSPROBABILITYUP.DURATION]}秒】を付与"
"1300015000","1300015","20","炎陣烈覇斬","自身の前方範囲内にいる敵全体に【5HIT / 合計{[DAMAGE.DAMAGE_PERCENT]}】ダメージ"
"1300015001","1300015","30","炎陣烈覇斬","ダメージ倍率が【{[DAMAGE.DAMAGE_PERCENT]}】に変化"
"1300016000","1300016","20","水神の怒り","最も近い敵1体に【11HIT / 合計{[DAMAGE.DAMAGE_PERCENT]}】ダメージ / ノックバック【Lv5】"
"1300016001","1300016","30","水神の怒り","ダメージ倍率が【{[DAMAGE.DAMAGE_PERCENT]}】に変化"
"1300019000","1300019","20","植物召喚","自身のパラメーターの【{[PRJCTL.LAND.SUMMON_SERVANT.PARAM_RATIO]}】を引き継ぐ魔法植物を【40秒】召喚"
"1300019001","1300019","30","植物召喚","引き継ぐパラメーターが【{[PRJCTL.LAND.SUMMON_SERVANT.PARAM_RATIO]}】に変化 / 自身に紋章：情熱を【3】付与"
"1300020000","1300020","20","ストームワルツ","前方範囲内にいる敵全体に【13HIT / 合計{[DAMAGE.DAMAGE_PERCENT]}】ダメージ"
"1300020001","1300020","30","ストームワルツ","さらに自身に最大HP【{[IMPACTSUCCEED.RECOVER.HEAL_PERCENT]}】分の回復 / 紋章：衝撃を5消費し、ダメージ倍率が【{[IMPACTSUCCEED.DAMAGE.DAMAGE_PERCENT]}】に変化"
"1300021000","1300021","20","スタチュー・デ・グラス","自身の前方範囲内にいる敵全体に【3HIT / 合計{[DAMAGE.DAMAGE_PERCENT]}】ダメージ / 凍結【20秒 / 成功率:60%】を付与"
"1300021001","1300021","30","スタチュー・デ・グラス","さらに自身のパラメーターの【{[SUMMON_MIRROR.PARAM_RATIO]}】を引き継ぐ氷の彫像を【60秒】召喚"
"1300023000","1300023","20","ヒールエール","現在HPが最も低い味方を中心とした範囲内にいる味方全体に自身の最大HP【{[RECOVER.HEAL_PERCENT]}】分の回復"
"1300023001","1300023","30","ヒールエール","さらに光・闇・無属性の味方バック全体に紋章：衝撃を【2】付与"
"1300024000","1300024","20","スイートヒール","味方全体に通常回復の【{[RECOVER.HEAL_PERCENT]}】分の回復 / 自身に紋章：情熱を【2】付与"
"1300024001","1300024","30","スイートヒール","さらに味方全体の状態異常を解除 / 火・水・土属性の味方バック全体に紋章：情熱を【2】付与"
"1300026000","1300026","20","魂魄一閃","最も近い敵1体に【10HIT / 合計{[DAMAGE.DAMAGE_PERCENT]}】ダメージ / 自身に紋章：衝撃を【1】付与"
"1300026001","1300026","30","魂魄一閃","さらに自身に与えたダメージの【{[DAMAGE_DRAIN.HEAL_RATIO:1]}】分の回復 / 紋章：衝撃を2消費し、対象に喪失【{[IMPACTSUCCEED.ABNORMAL.DURATION]秒}/ 成功率:100%】を付与"
"1300027000","1300027","20","スピリットサークル","最も近い敵を中心とした範囲内にいる敵全体に【5HIT / 合計{[PRJCTL.THROW.DAMAGE.DAMAGE_PERCENT]}】ダメージ / 自身に紋章：情熱を【1】付与"
"1300027001","1300027","30","スピリットサークル","さらに味方フロント全体に攻撃力UP【{[ATTACKUP.RATE_PERCENT]} / 15秒】を付与 / 紋章：情熱が5以上のとき、味方フロント全体に自身の最大HP【{[ZEAL.BARRIER.RATE]}】分のバリア【15秒】を付与"
"1300029000","1300029","20","妖鬼炎殺撃","自身の前方範囲内にいる敵全体に【2HIT / 合計{[DAMAGE.DAMAGE_PERCENT]}】ダメージ "
"1300029001","1300029","30","妖鬼炎殺撃","さらに自身に挑発【25秒】を付与 / 紋章：情熱が5以上のとき、自身に防御力UP【30% / {[ZEAL.DEFENCEUP.DURATION]秒}】を付与"
"1300030000","1300030","20","メイドアーツ","自身の前方範囲内にいる敵全体に【7HIT / 合計{[DAMAGE.DAMAGE_PERCENT]}】ダメージ"
"1300030001","1300030","30","メイドアーツ","紋章：衝撃を5消費し、ダメージ倍率が【{[IMPACTSUCCEED.DAMAGE.DAMAGE_PERCENT]}】に変化"
"1300031000","1300031","20","清流の祈り","味方全体に通常回復の【{[RECOVER.HEAL_PERCENT]}】回復"
"1300031001","1300031","30","清流の祈り","回復倍率が【{[RECOVER.HEAL_PERCENT]}】に変化 / 紋章：情熱が5以上のとき、自身に攻撃力UP【{[ZEAL.ATTACKUP.RATE_PERCENT]}】を付与【累積 / 最大60%】"
"1300032000","1300032","20","煌打砕散","味方フロント全体に会心率UP【{[CRITICALUP.FIXED_PERCENT]} / 30秒】を付与"
"1300032001","1300032","30","煌打砕散","さらに最も攻撃力の高い火・水・土属性の味方1体に紋章：情熱を【1】付与 / 紋章：情熱が5以上のとき、さらに紋章：情熱を【1】付与"
"1300033000","1300033","20","大自然の鎮魂歌","敵全体に石化【{[ABNORMAL.DURATION]秒} / 成功率:20%】を付与"
"1300033001","1300033","30","大自然の鎮魂歌","石化の成功率が【{[ABNORMAL.APPLY_PROBABILITY]}】に変化 / 自身に紋章：情熱を【1】付与"
"1300034000","1300034","20","胡蝶の時雨","最も近い敵を中心とした範囲内にいる敵全体に【5HIT / 合計{[PRJCTL.LAND.DAMAGE.DAMAGE_PERCENT]}】ダメージ / 対象に喪失【{[PRJCTL.LAND.ABNORMAL.DURATION]秒} / 成功率:50%】を付与"
"1300034001","1300034","30","胡蝶の時雨","自身に会心ダメージ倍率UP【{[PRJCTL.LAND.CRITICALDAMAGERATEUP.FIXED_PERCENT]} / 15秒】を付与 / 紋章：衝撃を5消費し、ダメージ倍率が【{[PRJCTL.LAND.IMPACTSUCCEED.DAMAGE.DAMAGE_PERCENT]}】に変化"
"1300035000","1300035","20","ガチ恋♡デビルハート","ランダムな敵1体に【1HIT / 合計{[PRJCTL.LAND.DAMAGE.DAMAGE_FIRST_PERCENT]}】ダメージ / 魅了【{[PRJCTL.LAND.ABNORMAL.DURATION:1]秒} / 成功率:50%】を付与する攻撃を4回行う"
"1300035001","1300035","30","ガチ恋♡デビルハート","魅了の付与秒数が【{[IMPACTFAILED.PRJCTL.LAND.ABNORMAL.DURATION:1]秒}】に変化 / 紋章：衝撃を5消費し、ダメージ倍率が【{[IMPACTSUCCEED.PRJCTL.LAND.DAMAGE.DAMAGE_FIRST_PERCENT]}】に変化"
"1300037000","1300037","20","スターリーレイン","自身にステラレコード【20秒】を付与 / 敵全体に【8HIT / 合計{[DAMAGE.DAMAGE_PERCENT]}】ダメージ"
"1300037001","1300037","30","スターリーレイン","自身のスキルを【{[SKILL_CHARGE.CHARGE_VALUE]}】チャージ  / 紋章：衝撃を5消費し、ダメージ倍率が【{[IMPACTSUCCEED.DAMAGE.DAMAGE_PERCENT]}】に変化"
"1300041000","1300041","20","えぇい！持ってけドロボー！","味方バックからランダム2体のスキルを【{[PRJCTL.AOE.SKILL_CHARGE.CHARGE_VALUE]}】チャージ / 自身に紋章：情熱を【1】付与"
"1300041001","1300041","30","えぇい！持ってけドロボー！","対象が3体に変化 / 紋章：情熱が5以上のとき、対象にスキルチャージ効率UP【{[PRJCTL.AOE.ZEAL.SKILLCHARGEQUANTITYUP.RATE_PERCENT]} / 15秒】を付与"
