"id","ability_no","ability_awake_level","level","description","awake_description"
"1001112","10011","1","2","【発動条件】通常攻撃を2回行う
【効果】次回の通常攻撃が【1HIT / 合計{113.3%}】ダメージ / ノックバック【Lv3】に変化","自身の攻撃力と防御力と最大HPが【{5%}】上昇"
"1001113","10011","1","3","【発動条件】通常攻撃を2回行う
【効果】次回の通常攻撃が【1HIT / 合計{116.6%}】ダメージ / ノックバック【Lv3】に変化","自身の攻撃力と防御力と最大HPが【{5%}】上昇"
"1001114","10011","1","4","【発動条件】通常攻撃を2回行う
【効果】次回の通常攻撃が【1HIT / 合計{120%}】ダメージ / ノックバック【Lv3】に変化","自身の攻撃力と防御力と最大HPが【{5%}】上昇"
"1001115","10011","1","5","【発動条件】通常攻撃を2回行う
【効果】次回の通常攻撃が【1HIT / 合計{126.6%}】ダメージ / ノックバック【Lv3】に変化","自身の攻撃力と防御力と最大HPが【{5%}】上昇"
"1001116","10011","1","6","【発動条件】通常攻撃を2回行う
【効果】次回の通常攻撃が【1HIT / 合計{130%}】ダメージ / ノックバック【Lv3】に変化","自身の攻撃力と防御力と最大HPが【{5%}】上昇"
"1001117","10011","1","7","【発動条件】通常攻撃を2回行う
【効果】次回の通常攻撃が【1HIT / 合計{133.3%}】ダメージ / ノックバック【Lv3】に変化","自身の攻撃力と防御力と最大HPが【{5%}】上昇"
"1001118","10011","1","8","【発動条件】通常攻撃を2回行う
【効果】次回の通常攻撃が【1HIT / 合計{140%}】ダメージ / ノックバック【Lv3】に変化","自身の攻撃力と防御力と最大HPが【{5%}】上昇"
"1001119","10011","1","9","【発動条件】通常攻撃を2回行う
【効果】次回の通常攻撃が【1HIT / 合計{143.3%}】ダメージ / ノックバック【Lv3】に変化","自身の攻撃力と防御力と最大HPが【{5%}】上昇"
"1001120","10011","1","10","【発動条件】通常攻撃を2回行う
【効果】次回の通常攻撃が【1HIT / 合計{150%}】ダメージ / ノックバック【Lv3】に変化","自身の攻撃力と防御力と最大HPが【{5%}】上昇"
"1001121","10011","2","1","【発動条件】通常攻撃を2回行う
【効果】次回の通常攻撃が【1HIT / 合計{110%}】ダメージ / ノックバック【Lv3】に変化","自身の攻撃力と防御力と最大HPが【{9.5%}】上昇"
"1001122","10011","2","2","【発動条件】通常攻撃を2回行う
【効果】次回の通常攻撃が【1HIT / 合計{113.3%}】ダメージ / ノックバック【Lv3】に変化","自身の攻撃力と防御力と最大HPが【{9.5%}】上昇"
"1001123","10011","2","3","【発動条件】通常攻撃を2回行う
【効果】次回の通常攻撃が【1HIT / 合計{116.6%}】ダメージ / ノックバック【Lv3】に変化","自身の攻撃力と防御力と最大HPが【{9.5%}】上昇"
"1001124","10011","2","4","【発動条件】通常攻撃を2回行う
【効果】次回の通常攻撃が【1HIT / 合計{120%}】ダメージ / ノックバック【Lv3】に変化","自身の攻撃力と防御力と最大HPが【{9.5%}】上昇"
"1001125","10011","2","5","【発動条件】通常攻撃を2回行う
【効果】次回の通常攻撃が【1HIT / 合計{126.6%}】ダメージ / ノックバック【Lv3】に変化","自身の攻撃力と防御力と最大HPが【{9.5%}】上昇"
"1001126","10011","2","6","【発動条件】通常攻撃を2回行う
【効果】次回の通常攻撃が【1HIT / 合計{130%}】ダメージ / ノックバック【Lv3】に変化","自身の攻撃力と防御力と最大HPが【{9.5%}】上昇"
"1001127","10011","2","7","【発動条件】通常攻撃を2回行う
【効果】次回の通常攻撃が【1HIT / 合計{133.3%}】ダメージ / ノックバック【Lv3】に変化","自身の攻撃力と防御力と最大HPが【{9.5%}】上昇"
"1001128","10011","2","8","【発動条件】通常攻撃を2回行う
【効果】次回の通常攻撃が【1HIT / 合計{140%}】ダメージ / ノックバック【Lv3】に変化","自身の攻撃力と防御力と最大HPが【{9.5%}】上昇"
"1001129","10011","2","9","【発動条件】通常攻撃を2回行う
【効果】次回の通常攻撃が【1HIT / 合計{143.3%}】ダメージ / ノックバック【Lv3】に変化","自身の攻撃力と防御力と最大HPが【{9.5%}】上昇"
"1001130","10011","2","10","【発動条件】通常攻撃を2回行う
【効果】次回の通常攻撃が【1HIT / 合計{150%}】ダメージ / ノックバック【Lv3】に変化","自身の攻撃力と防御力と最大HPが【{9.5%}】上昇"
"1001201","10012","0","1","チェインスキル発動時、自身に攻撃力UP【{5%} / 15秒】を付与",""
"1001202","10012","0","2","チェインスキル発動時、自身に攻撃力UP【{8.7%} / 15秒】を付与",""
"1001203","10012","0","3","チェインスキル発動時、自身に攻撃力UP【{12.5%} / 15秒】を付与",""
"1001204","10012","0","4","チェインスキル発動時、自身に攻撃力UP【{16.2%} / 15秒】を付与",""
"1001205","10012","0","5","チェインスキル発動時、自身に攻撃力UP【{23.7%} / 15秒】を付与",""
"1001206","10012","0","6","チェインスキル発動時、自身に攻撃力UP【{27.5%} / 15秒】を付与",""
"1001207","10012","0","7","チェインスキル発動時、自身に攻撃力UP【{31.2%} / 15秒】を付与",""
"1001208","10012","0","8","チェインスキル発動時、自身に攻撃力UP【{38.7%} / 15秒】を付与",""
"1001209","10012","0","9","チェインスキル発動時、自身に攻撃力UP【{42.4%} / 15秒】を付与",""
"1001210","10012","0","10","チェインスキル発動時、自身に攻撃力UP【{50%} / 15秒】を付与",""
"1001211","10012","1","1","チェインスキル発動時、自身に攻撃力UP【{5%} / 15秒】を付与","自身の回避率が【{16.6%}】%上昇"
"1001212","10012","1","2","チェインスキル発動時、自身に攻撃力UP【{8.7%} / 15秒】を付与","自身の回避率が【{16.6%}】%上昇"
"1001213","10012","1","3","チェインスキル発動時、自身に攻撃力UP【{12.5%} / 15秒】を付与","自身の回避率が【{16.6%}】%上昇"
"1001214","10012","1","4","チェインスキル発動時、自身に攻撃力UP【{16.2%} / 15秒】を付与","自身の回避率が【{16.6%}】%上昇"
"1001215","10012","1","5","チェインスキル発動時、自身に攻撃力UP【{23.7%} / 15秒】を付与","自身の回避率が【{16.6%}】%上昇"
"1001216","10012","1","6","チェインスキル発動時、自身に攻撃力UP【{27.5%} / 15秒】を付与","自身の回避率が【{16.6%}】%上昇"
"1001217","10012","1","7","チェインスキル発動時、自身に攻撃力UP【{31.2%} / 15秒】を付与","自身の回避率が【{16.6%}】%上昇"
"1001218","10012","1","8","チェインスキル発動時、自身に攻撃力UP【{38.7%} / 15秒】を付与","自身の回避率が【{16.6%}】%上昇"
"1001219","10012","1","9","チェインスキル発動時、自身に攻撃力UP【{42.4%} / 15秒】を付与","自身の回避率が【{16.6%}】%上昇"
"1001220","10012","1","10","チェインスキル発動時、自身に攻撃力UP【{50%} / 15秒】を付与","自身の回避率が【{16.6%}】%上昇"
"1001221","10012","2","1","チェインスキル発動時、自身に攻撃力UP【{5%} / 15秒】を付与","自身の回避率が【{19.1%}】%上昇"
"1001222","10012","2","2","チェインスキル発動時、自身に攻撃力UP【{8.7%} / 15秒】を付与","自身の回避率が【{19.1%}】%上昇"
"1001223","10012","2","3","チェインスキル発動時、自身に攻撃力UP【{12.5%} / 15秒】を付与","自身の回避率が【{19.1%}】%上昇"
"1001224","10012","2","4","チェインスキル発動時、自身に攻撃力UP【{16.2%} / 15秒】を付与","自身の回避率が【{19.1%}】%上昇"
"1001225","10012","2","5","チェインスキル発動時、自身に攻撃力UP【{23.7%} / 15秒】を付与","自身の回避率が【{19.1%}】%上昇"
"1001226","10012","2","6","チェインスキル発動時、自身に攻撃力UP【{27.5%} / 15秒】を付与","自身の回避率が【{19.1%}】%上昇"
"1001227","10012","2","7","チェインスキル発動時、自身に攻撃力UP【{31.2%} / 15秒】を付与","自身の回避率が【{19.1%}】%上昇"
"1001228","10012","2","8","チェインスキル発動時、自身に攻撃力UP【{38.7%} / 15秒】を付与","自身の回避率が【{19.1%}】%上昇"
"1001229","10012","2","9","チェインスキル発動時、自身に攻撃力UP【{42.4%} / 15秒】を付与","自身の回避率が【{19.1%}】%上昇"
"1001230","10012","2","10","チェインスキル発動時、自身に攻撃力UP【{50%} / 15秒】を付与","自身の回避率が【{19.1%}】%上昇"
"1001301","10013","0","1","自身に紋章：情熱が付与されたとき、自身に回避率UP【{3.5%}】を付与【累積 / 最大35％】",""
"1001302","10013","0","2","自身に紋章：情熱が付与されたとき、自身に回避率UP【{3.7%}】を付与【累積 / 最大35％】",""
"1001303","10013","0","3","自身に紋章：情熱が付与されたとき、自身に回避率UP【{4%}】を付与【累積 / 最大35％】",""
"1001304","10013","0","4","自身に紋章：情熱が付与されたとき、自身に回避率UP【{4.3%}】を付与【累積 / 最大35％】",""
"1001305","10013","0","5","自身に紋章：情熱が付与されたとき、自身に回避率UP【{4.9%}】を付与【累積 / 最大35％】",""
"1001306","10013","0","6","自身に紋章：情熱が付与されたとき、自身に回避率UP【{5.2%}】を付与【累積 / 最大35％】",""
"1001307","10013","0","7","自身に紋章：情熱が付与されたとき、自身に回避率UP【{5.5%}】を付与【累積 / 最大35％】",""
"1001308","10013","0","8","自身に紋章：情熱が付与されたとき、自身に回避率UP【{6.1%}】を付与【累積 / 最大35％】",""
"1001309","10013","0","9","自身に紋章：情熱が付与されたとき、自身に回避率UP【{6.4%}】を付与【累積 / 最大35％】",""
"1001310","10013","0","10","自身に紋章：情熱が付与されたとき、自身に回避率UP【{7%}】を付与【累積 / 最大35％】",""
"1001311","10013","1","1","自身に紋章：情熱が付与されたとき、自身に回避率UP【{3.5%}】を付与【累積 / 最大35％】","30秒に1回、自身に紋章：情熱を【{1}】付与"
"1001312","10013","1","2","自身に紋章：情熱が付与されたとき、自身に回避率UP【{3.7%}】を付与【累積 / 最大35％】","30秒に1回、自身に紋章：情熱を【{1}】付与"
"1001313","10013","1","3","自身に紋章：情熱が付与されたとき、自身に回避率UP【{4%}】を付与【累積 / 最大35％】","30秒に1回、自身に紋章：情熱を【{1}】付与"
"1001314","10013","1","4","自身に紋章：情熱が付与されたとき、自身に回避率UP【{4.3%}】を付与【累積 / 最大35％】","30秒に1回、自身に紋章：情熱を【{1}】付与"
"1001315","10013","1","5","自身に紋章：情熱が付与されたとき、自身に回避率UP【{4.9%}】を付与【累積 / 最大35％】","30秒に1回、自身に紋章：情熱を【{1}】付与"
"1001316","10013","1","6","自身に紋章：情熱が付与されたとき、自身に回避率UP【{5.2%}】を付与【累積 / 最大35％】","30秒に1回、自身に紋章：情熱を【{1}】付与"
"1001317","10013","1","7","自身に紋章：情熱が付与されたとき、自身に回避率UP【{5.5%}】を付与【累積 / 最大35％】","30秒に1回、自身に紋章：情熱を【{1}】付与"
"1001318","10013","1","8","自身に紋章：情熱が付与されたとき、自身に回避率UP【{6.1%}】を付与【累積 / 最大35％】","30秒に1回、自身に紋章：情熱を【{1}】付与"
"1001319","10013","1","9","自身に紋章：情熱が付与されたとき、自身に回避率UP【{6.4%}】を付与【累積 / 最大35％】","30秒に1回、自身に紋章：情熱を【{1}】付与"
"1001320","10013","1","10","自身に紋章：情熱が付与されたとき、自身に回避率UP【{7%}】を付与【累積 / 最大35％】","30秒に1回、自身に紋章：情熱を【{1}】付与"
"1001321","10013","2","1","自身に紋章：情熱が付与されたとき、自身に回避率UP【{3.5%}】を付与【累積 / 最大35％】","30秒に1回、自身に紋章：情熱を【{2}】付与"
"1001322","10013","2","2","自身に紋章：情熱が付与されたとき、自身に回避率UP【{3.7%}】を付与【累積 / 最大35％】","30秒に1回、自身に紋章：情熱を【{2}】付与"
"1001323","10013","2","3","自身に紋章：情熱が付与されたとき、自身に回避率UP【{4%}】を付与【累積 / 最大35％】","30秒に1回、自身に紋章：情熱を【{2}】付与"
"1001324","10013","2","4","自身に紋章：情熱が付与されたとき、自身に回避率UP【{4.3%}】を付与【累積 / 最大35％】","30秒に1回、自身に紋章：情熱を【{2}】付与"
"1001325","10013","2","5","自身に紋章：情熱が付与されたとき、自身に回避率UP【{4.9%}】を付与【累積 / 最大35％】","30秒に1回、自身に紋章：情熱を【{2}】付与"
"1001326","10013","2","6","自身に紋章：情熱が付与されたとき、自身に回避率UP【{5.2%}】を付与【累積 / 最大35％】","30秒に1回、自身に紋章：情熱を【{2}】付与"
"1001327","10013","2","7","自身に紋章：情熱が付与されたとき、自身に回避率UP【{5.5%}】を付与【累積 / 最大35％】","30秒に1回、自身に紋章：情熱を【{2}】付与"
"1001328","10013","2","8","自身に紋章：情熱が付与されたとき、自身に回避率UP【{6.1%}】を付与【累積 / 最大35％】","30秒に1回、自身に紋章：情熱を【{2}】付与"
"1001329","10013","2","9","自身に紋章：情熱が付与されたとき、自身に回避率UP【{6.4%}】を付与【累積 / 最大35％】","30秒に1回、自身に紋章：情熱を【{2}】付与"
"1001330","10013","2","10","自身に紋章：情熱が付与されたとき、自身に回避率UP【{7%}】を付与【累積 / 最大35％】","30秒に1回、自身に紋章：情熱を【{2}】付与"
"1001401","10014","0","1","自身の現在HP割合が高いほど自身がスキルで与えるダメージが最大【{2.5%}】上昇
【発動条件】常時発動
【効果】通常攻撃が【2HIT / 合計{100%}】ダメージに変化",""
"1001402","10014","0","2","自身の現在HP割合が高いほど自身がスキルで与えるダメージが最大【{4.3%}】上昇
【発動条件】常時発動
【効果】通常攻撃が【2HIT / 合計{101.6%}】ダメージに変化",""
"1001403","10014","0","3","自身の現在HP割合が高いほど自身がスキルで与えるダメージが最大【{6.2%}】上昇
【発動条件】常時発動
【効果】通常攻撃が【2HIT / 合計{103.3%}】ダメージに変化",""
"1001404","10014","0","4","自身の現在HP割合が高いほど自身がスキルで与えるダメージが最大【{8.1%}】上昇
【発動条件】常時発動
【効果】通常攻撃が【2HIT / 合計{105%}】ダメージに変化",""
"1001405","10014","0","5","自身の現在HP割合が高いほど自身がスキルで与えるダメージが最大【{11.8%}】上昇
【発動条件】常時発動
【効果】通常攻撃が【2HIT / 合計{108.3%}】ダメージに変化",""
"1001406","10014","0","6","自身の現在HP割合が高いほど自身がスキルで与えるダメージが最大【{13.7%}】上昇
【発動条件】常時発動
【効果】通常攻撃が【2HIT / 合計{110%}】ダメージに変化",""
"1001407","10014","0","7","自身の現在HP割合が高いほど自身がスキルで与えるダメージが最大【{15.6%}】上昇
【発動条件】常時発動
【効果】通常攻撃が【2HIT / 合計{111.6%}】ダメージに変化",""
