"CharacterId","CharacterName","CharacterRarity","FcSkillId","FcName","FcDescription","TriggerType","TriggerTypeName","TargetType","TargetTypeName","UnitTargetType","UnitTargetTypeName","AttackRangeType","AttackRangeTypeName","AttackArea","IsAerialHit","ExecuteConditionCode"
"1300011","ピコ","3","1300011001","ピコピコントロール","さらに紋章：衝撃を5消費し、最も攻撃力の高い光・闇・無属性の味方1体に衝撃消費無効1回【永続】を付与","30","Chain/ForceChain","2","Friend","0","All","0","All","{x: 0, y: 1.2}","0","UNRECOVERED_SERIALIZE_REFERENCE"
"1300014","ルシータ","3","1300014001","カノンコール","紋章：情熱が5以上のとき、自身に連撃率UP【20% / {[ZEAL.ATTACKCONTINUOUSPROBABILITYUP.DURATION]}秒】を付与","30","Chain/ForceChain",,,,,,,,,"UNRECOVERED_SERIALIZE_REFERENCE"
"1300015","ラヴェリア","3","1300015001","炎陣烈覇斬","ダメージ倍率が【{[DAMAGE.DAMAGE_PERCENT]}】に変化","30","Chain/ForceChain","1","Opponent","0","All","1","Melee","{x: 0, y: 1.2}","1","UNRECOVERED_SERIALIZE_REFERENCE"
"1300016","ヒュメナ","3","1300016001","水神の怒り","ダメージ倍率が【{[DAMAGE.DAMAGE_PERCENT]}】に変化","30","Chain/ForceChain","1","Opponent","0","All","1","Melee","{x: 0, y: 1.2}","0","UNRECOVERED_SERIALIZE_REFERENCE"
"1300019","マニョリア","3","1300019001","植物召喚","引き継ぐパラメーターが【{[PRJCTL.LAND.SUMMON_SERVANT.PARAM_RATIO]}】に変化 / 自身に紋章：情熱を【3】付与","30","Chain/ForceChain","1","Opponent","0","All","2","Range","{x: 2.5, y: 6}","0","UNRECOVERED_SERIALIZE_REFERENCE"
"1300020","ウェンディ","3","1300020001","ストームワルツ","さらに自身に最大HP【{[IMPACTSUCCEED.RECOVER.HEAL_PERCENT]}】分の回復 / 紋章：衝撃を5消費し、ダメージ倍率が【{[IMPACTSUCCEED.DAMAGE.DAMAGE_PERCENT]}】に変化","30","Chain/ForceChain","1","Opponent","0","All","1","Melee","{x: 0, y: 1.2}","1","UNRECOVERED_SERIALIZE_REFERENCE"
"1300021","シルヴィア","3","1300021001","スタチュー・デ・グラス","さらに自身のパラメーターの【{[SUMMON_MIRROR.PARAM_RATIO]}】を引き継ぐ氷の彫像を【60秒】召喚","30","Chain/ForceChain","1","Opponent","0","All","1","Melee","{x: 0, y: 1.2}","0","UNRECOVERED_SERIALIZE_REFERENCE"
"1300023","エミリー","3","1300023001","ヒールエール","さらに光・闇・無属性の味方バック全体に紋章：衝撃を【2】付与","30","Chain/ForceChain","2","Friend","0","All","0","All","{x: 0, y: 1.2}","1","UNRECOVERED_SERIALIZE_REFERENCE"
"1300024","ミルティーユ","3","1300024001","スイートヒール","さらに味方全体の状態異常を解除 / 火・水・土属性の味方バック全体に紋章：情熱を【2】付与","30","Chain/ForceChain","2","Friend","0","All","0","All","{x: 0, y: 1.2}","1","UNRECOVERED_SERIALIZE_REFERENCE"
"1300026","ハツネ","3","1300026001","魂魄一閃","さらに自身に与えたダメージの【{[DAMAGE_DRAIN.HEAL_RATIO:1]}】分の回復 / 紋章：衝撃を2消費し、対象に喪失【{[IMPACTSUCCEED.ABNORMAL.DURATION]秒}/ 成功率:100%】を付与","30","Chain/ForceChain","1","Opponent","0","All","1","Melee","{x: 0, y: 1.2}","0","UNRECOVERED_SERIALIZE_REFERENCE"
"1300027","フィオナ","3","1300027001","スピリットサークル","さらに味方フロント全体に攻撃力UP【{[ATTACKUP.RATE_PERCENT]} / 15秒】を付与 / 紋章：情熱が5以上のとき、味方フロント全体に自身の最大HP【{[ZEAL.BARRIER.RATE]}】分のバリア【15秒】を付与","30","Chain/ForceChain","1","Opponent","0","All","2","Range","{x: 2, y: 5}","0","UNRECOVERED_SERIALIZE_REFERENCE"
"1300029","クレハ","3","1300029001","妖鬼炎殺撃","さらに自身に挑発【25秒】を付与 / 紋章：情熱が5以上のとき、自身に防御力UP【30% / {[ZEAL.DEFENCEUP.DURATION]秒}】を付与","30","Chain/ForceChain","1","Opponent","0","All","1","Melee","{x: 0, y: 1.2}","0","UNRECOVERED_SERIALIZE_REFERENCE"
"1300030","ニナ","3","1300030001","メイドアーツ","紋章：衝撃を5消費し、ダメージ倍率が【{[IMPACTSUCCEED.DAMAGE.DAMAGE_PERCENT]}】に変化","30","Chain/ForceChain","1","Opponent","0","All","1","Melee","{x: 0, y: 1.2}","0","UNRECOVERED_SERIALIZE_REFERENCE"
"1300031","ヒナギ","3","1300031001","清流の祈り","回復倍率が【{[RECOVER.HEAL_PERCENT]}】に変化 / 紋章：情熱が5以上のとき、自身に攻撃力UP【{[ZEAL.ATTACKUP.RATE_PERCENT]}】を付与【累積 / 最大60%】","30","Chain/ForceChain","1","Opponent","0","All","1","Melee","{x: 0, y: 1.2}","0","UNRECOVERED_SERIALIZE_REFERENCE"
"1300032","ホノカ","3","1300032001","煌打砕散","さらに最も攻撃力の高い火・水・土属性の味方1体に紋章：情熱を【1】付与 / 紋章：情熱が5以上のとき、さらに紋章：情熱を【1】付与","30","Chain/ForceChain","1","Opponent","0","All","1","Melee","{x: 0, y: 1.2}","0","UNRECOVERED_SERIALIZE_REFERENCE"
"1300033","ラモーナ","3","1300033001","大自然の鎮魂歌","石化の成功率が【{[ABNORMAL.APPLY_PROBABILITY]}】に変化 / 自身に紋章：情熱を【1】付与","30","Chain/ForceChain","1","Opponent","0","All","1","Melee","{x: 0, y: 1.2}","0","UNRECOVERED_SERIALIZE_REFERENCE"
"1300034","シラエス","3","1300034001","胡蝶の時雨","自身に会心ダメージ倍率UP【{[PRJCTL.LAND.CRITICALDAMAGERATEUP.FIXED_PERCENT]} / 15秒】を付与 / 紋章：衝撃を5消費し、ダメージ倍率が【{[PRJCTL.LAND.IMPACTSUCCEED.DAMAGE.DAMAGE_PERCENT]}】に変化","30","Chain/ForceChain","1","Opponent","0","All","2","Range","{x: 2.5, y: 6}","1","UNRECOVERED_SERIALIZE_REFERENCE"
"1300035","リエラ","3","1300035001","ガチ恋♡デビルハート","魅了の付与秒数が【{[IMPACTFAILED.PRJCTL.LAND.ABNORMAL.DURATION:1]秒}】に変化 / 紋章：衝撃を5消費し、ダメージ倍率が【{[IMPACTSUCCEED.PRJCTL.LAND.DAMAGE.DAMAGE_FIRST_PERCENT]}】に変化","30","Chain/ForceChain","1","Opponent","0","All","0","All","{x: 2.5, y: 6}","1","UNRECOVERED_SERIALIZE_REFERENCE"
"1300037","クリスティ","3","1300037001","スターリーレイン","自身のスキルを【{[SKILL_CHARGE.CHARGE_VALUE]}】チャージ  / 紋章：衝撃を5消費し、ダメージ倍率が【{[IMPACTSUCCEED.DAMAGE.DAMAGE_PERCENT]}】に変化","30","Chain/ForceChain","1","Opponent","0","All","0","All","{x: 2.5, y: 6}","1","UNRECOVERED_SERIALIZE_REFERENCE"
"1300041","メリッサ","3","1300041001","えぇい！持ってけドロボー！","対象が3体に変化 / 紋章：情熱が5以上のとき、対象にスキルチャージ効率UP【{[PRJCTL.AOE.ZEAL.SKILLCHARGEQUANTITYUP.RATE_PERCENT]} / 15秒】を付与","30","Chain/ForceChain",,,,,,,,,"UNRECOVERED_SERIALIZE_REFERENCE"
