"id","ability_no","m_ability_effects_id","ability_awake_level","display_order"
"1007001","10070","20045","0","1"
"1007002","10070","20045","1","1"
"1007003","10070","20235","1","1"
"1007004","10070","20045","2","1"
"1007005","10070","20235","2","1"
"1007101","10071","20047","0","1"
"1007102","10071","20047","1","1"
"1007103","10071","20307","1","1"
"1007104","10071","20047","2","1"
"1007105","10071","20307","2","1"
"1007201","10072","20048","0","1"
"1007203","10072","20048","1","1"
"1007205","10072","20308","1","1"
"1007206","10072","20048","2","1"
"1007208","10072","20308","2","1"
"1007301","10073","20050","0","1"
"1007302","10073","20263","0","1"
"1007303","10073","20050","1","1"
"1007304","10073","20263","1","1"
"1007305","10073","20321","1","1"
"1007306","10073","20050","2","1"
"1007307","10073","20263","2","1"
"1007308","10073","20321","2","1"
"1007401","10074","20051","0","1"
"1007402","10074","20051","1","1"
"1007403","10074","20307","1","1"
"1007404","10074","20051","2","1"
"1007405","10074","20307","2","1"
"1007501","10075","20052","0","1"
"1007502","10075","20330","0","1"
"1007503","10075","20052","1","1"
"1007504","10075","20330","1","1"
"1007505","10075","20311","1","1"
"1007506","10075","20052","2","1"
"1007507","10075","20330","2","1"
"1007508","10075","20311","2","1"
"1007601","10076","20053","0","1"
"1007602","10076","20053","1","1"
"1007603","10076","20320","1","1"
"1007604","10076","20053","2","1"
"1007605","10076","20320","2","1"
"1007701","10077","20054","0","1"
"1007801","10078","20055","0","1"
"1007802","10078","20056","0","1"
"1007803","10078","20057","0","1"
"1007901","10079","20058","0","1"
"1008001","10080","20059","0","1"
"1008002","10080","20059","1","1"
"1008003","10080","20307","1","1"
"1008004","10080","20059","2","1"
"1008005","10080","20307","2","1"
"1008101","10081","20060","0","1"
"1008102","10081","20061","0","1"
"1008103","10081","20060","1","1"
"1008104","10081","20061","1","1"
"1008105","10081","20308","1","1"
"1008106","10081","20060","2","1"
"1008107","10081","20061","2","1"
"1008108","10081","20308","2","1"
"1008201","10082","20063","0","1"
"1008202","10082","20328","0","1"
"1008203","10082","20063","1","1"
"1008204","10082","20328","1","1"
"1008205","10082","20320","1","1"
"1008206","10082","20063","2","1"
"1008207","10082","20328","2","1"
"1008208","10082","20320","2","1"
"1008301","10083","20064","0","1"
"1008302","10083","20064","1","1"
"1008303","10083","20307","1","1"
"1008304","10083","20064","2","1"
"1008305","10083","20307","2","1"
"1008401","10084","20065","0","1"
"1008402","10084","20065","1","1"
"1008403","10084","20310","1","1"
"1008404","10084","20065","2","1"
"1008405","10084","20310","2","1"
"1008501","10085","20066","0","1"
"1008502","10085","20261","0","1"
"1008503","10085","20066","1","1"
"1008504","10085","20261","1","1"
"1008505","10085","20321","1","1"
"1008506","10085","20066","2","1"
"1008507","10085","20261","2","1"
"1008508","10085","20321","2","1"
"1008601","10086","20077","0","1"
"1008602","10086","20078","0","1"
"1008701","10087","20079","0","1"
"1008801","10088","20080","0","1"
"1008802","10088","20273","0","1"
"1008901","10089","20081","0","1"
"1008902","10089","20322","0","1"
"1008903","10089","20323","0","1"
"1009001","10090","20082","0","1"
"1009101","10091","20083","0","1"
"1009102","10091","20324","0","1"
"1009201","10092","20104","0","1"
"1009202","10092","20104","1","1"
"1009203","10092","20148","1","1"
"1009204","10092","20104","2","1"
"1009205","10092","20148","2","1"
"1009301","10093","20105","0","1"
"1009302","10093","20105","1","1"
"1009303","10093","20149","1","1"
"1009304","10093","20105","2","1"
"1009305","10093","20149","2","1"
"1009401","10094","20106","0","1"
"1009402","10094","20106","1","1"
"1009403","10094","20150","1","1"
"1009404","10094","20106","2","1"
"1009405","10094","20150","2","1"
"1009501","10095","20107","0","1"
"1009502","10095","20107","1","1"
"1009503","10095","20307","1","1"
"1009504","10095","20107","2","1"
"1009505","10095","20307","2","1"
"1009601","10096","20108","0","1"
"1009602","10096","20108","1","1"
"1009603","10096","20319","1","1"
"1009604","10096","20108","2","1"
"1009605","10096","20319","2","1"
"1009701","10097","20109","0","1"
"1009702","10097","20109","1","1"
"1009703","10097","20320","1","1"
"1009704","10097","20109","2","1"
"1009705","10097","20320","2","1"
"1009801","10098","20110","0","1"
"1009802","10098","20110","1","1"
"1009803","10098","20307","1","1"
"1009804","10098","20110","2","1"
"1009805","10098","20307","2","1"
"1009901","10099","20111","0","1"
"1009902","10099","20154","0","1"
"1009903","10099","20111","1","1"
"1009904","10099","20154","1","1"
"1009905","10099","20311","1","1"
"1009906","10099","20111","2","1"
"1009907","10099","20154","2","1"
"1009908","10099","20311","2","1"
"1010001","10100","20112","0","1"
"1010002","10100","20112","1","1"
"1010003","10100","20321","1","1"
"1010004","10100","20112","2","1"
"1010005","10100","20321","2","1"
"1010101","10101","20113","0","1"
"1010201","10102","20114","0","1"
"1010202","10102","20262","0","1"
"1010301","10103","20120","0","1"
"1010401","10104","20121","0","1"
"1010501","10105","20135","0","1"
"1010502","10105","20135","1","1"
"1010503","10105","20307","1","1"
"1010504","10105","20135","2","1"
"1010505","10105","20307","2","1"
"1010601","10106","20136","0","1"
"1010602","10106","20136","1","1"
"1010603","10106","20319","1","1"
"1010604","10106","20136","2","1"
"1010605","10106","20319","2","1"
"1010701","10107","20138","0","1"
"1010702","10107","20138","1","1"
"1010703","10107","20320","1","1"
"1010704","10107","20138","2","1"
"1010705","10107","20320","2","1"
"1010801","10108","20140","0","1"
"1010802","10108","20140","1","1"
"1010803","10108","20307","1","1"
"1010804","10108","20140","2","1"
"1010805","10108","20307","2","1"
"1010901","10109","20141","0","1"
"1010902","10109","20141","1","1"
"1010903","10109","20319","1","1"
"1010904","10109","20141","2","1"
"1010905","10109","20319","2","1"
"1011001","10110","20143","0","1"
"1011002","10110","20143","1","1"
"1011003","10110","20320","1","1"
"1011004","10110","20143","2","1"
"1011005","10110","20320","2","1"
"1011101","10111","20164","0","1"
"1011102","10111","20264","0","1"
"1011201","10112","20165","0","1"
"1011301","10113","20166","0","1"
"1011302","10113","20270","0","1"
"1011401","10114","20167","0","1"
"1011501","10115","20168","0","1"
"1011601","10116","20169","0","1"
"1011701","10117","20249","0","1"
"1011801","10118","20175","0","1"
"1011802","10118","20274","0","1"
"1011901","10119","20176","0","1"
"1012001","10120","20177","0","1"
"1012101","10121","20178","0","1"
"1012201","10122","20179","0","1"
"1012202","10122","20275","0","1"
"1012301","10123","20180","0","1"
"1012401","10124","20181","0","1"
"1012501","10125","20182","0","1"
"1012601","10126","20183","0","1"
"1012701","10127","20184","0","1"
"1012801","10128","20185","0","1"
"1012802","10128","20276","0","1"
"1012901","10129","20186","0","1"
"1013001","10130","20187","0","1"
"1013101","10131","20188","0","1"
"1013102","10131","20277","0","1"
"1013201","10132","20189","0","1"
"1013301","10133","20190","0","1"
"1013302","10133","20278","0","1"
"1013401","10134","20191","0","1"
"1013501","10135","20192","0","1"
"1013601","10136","20279","0","1"
"1013602","10136","20193","0","1"
"1013701","10137","20194","0","1"
"1013702","10137","20280","0","1"
"1013801","10138","20195","0","1"
"1013901","10139","20196","0","1"
"1013902","10139","20281","0","1"
"1014001","10140","20197","0","1"
"1014101","10141","20198","0","1"
"1014201","10142","20199","0","1"
"1014301","10143","20200","0","1"
"1014401","10144","20268","0","1"
"1014402","10144","20201","0","1"
"1014501","10145","20202","0","1"
"1014502","10145","20269","0","1"
"1014601","10146","20203","0","1"
"1014701","10147","20204","0","1"
"1014801","10148","20271","0","1"
"1014802","10148","20272","0","1"
"1014803","10148","20205","0","1"
"1014901","10149","20206","0","1"
"1015001","10150","20207","0","1"
"1015101","10151","20208","0","1"
"1015201","10152","20209","0","1"
"1015301","10153","20243","0","1"
"1015302","10153","20243","1","1"
"1015303","10153","20307","1","1"
"1015304","10153","20243","2","1"
"1015305","10153","20307","2","1"
"1015401","10154","20244","0","1"
"1015402","10154","20253","0","1"
"1015403","10154","20244","1","1"
"1015404","10154","20253","1","1"
"1015405","10154","20311","1","1"
"1015406","10154","20244","2","1"
"1015407","10154","20253","2","1"
"1015408","10154","20311","2","1"
"1015501","10155","20245","0","1"
"1015502","10155","20245","1","1"
"1015503","10155","20320","1","1"
"1015504","10155","20245","2","1"
"1015505","10155","20320","2","1"
"1015601","10156","20282","0","1"
"1015602","10156","20282","1","1"
"1015603","10156","20307","1","1"
"1015604","10156","20282","2","1"
"1015605","10156","20307","2","1"
"1015701","10157","20284","0","1"
"1015702","10157","20284","1","1"
"1015703","10157","20319","1","1"
"1015704","10157","20284","2","1"
"1015705","10157","20319","2","1"
"1015801","10158","20287","0","1"
"1015802","10158","20288","0","1"
"1015803","10158","20287","1","1"
"1015804","10158","20288","1","1"
"1015805","10158","20320","1","1"
"1015806","10158","20287","2","1"
"1015807","10158","20288","2","1"
"1015808","10158","20320","2","1"
"1015901","10159","20325","0","1"
"1015902","10159","20325","1","1"
"1015903","10159","20307","1","1"
"1015904","10159","20325","2","1"
"1015905","10159","20307","2","1"
"1016001","10160","20326","0","1"
"1016002","10160","20326","1","1"
"1016003","10160","20319","1","1"
"1016004","10160","20326","2","1"
"1016005","10160","20319","2","1"
"1016101","10161","20327","0","1"
"1016102","10161","20327","1","1"
"1016103","10161","20321","1","1"
"1016104","10161","20327","2","1"
"1016105","10161","20321","2","1"
"1016201","10162","20340","0","1"
"1016301","10163","20341","0","1"
"1016302","10163","20342","0","1"
"1016401","10164","20335","0","1"
"1016402","10164","20335","1","1"
"1016403","10164","20307","1","1"
"1016404","10164","20335","2","1"
"1016405","10164","20307","2","1"
"1016501","10165","20336","0","1"
"1016502","10165","20337","0","1"
"1016503","10165","20336","1","1"
"1016504","10165","20337","1","1"
"1016505","10165","20318","1","1"
"1016506","10165","20336","2","1"
"1016507","10165","20337","2","1"
"1016508","10165","20318","2","1"
"1016601","10166","20338","0","1"
"1016602","10166","20339","0","1"
"1016603","10166","20338","1","1"
"1016604","10166","20339","1","1"
"1016605","10166","20321","1","1"
"1016606","10166","20339","2","1"
"1016607","10166","20338","2","1"
"1016608","10166","20321","2","1"
"1016701","10167","20331","0","1"
"1016702","10167","20332","0","1"
"1016703","10167","20331","1","1"
"1016704","10167","20332","1","1"
"1016705","10167","20307","1","1"
"1016706","10167","20331","2","1"
"1016707","10167","20332","2","1"
"1016708","10167","20307","2","1"
"1016801","10168","20333","0","1"
"1016802","10168","20333","1","1"
"1016803","10168","20319","1","1"
"1016804","10168","20333","2","1"
"1016805","10168","20319","2","1"
"1016901","10169","20334","0","1"
"1016902","10169","20334","1","1"
"1016903","10169","20321","1","1"
"1016904","10169","20334","2","1"
"1016905","10169","20321","2","1"
"1017001","10170","20343","0","1"
"1017002","10170","20343","1","1"
"1017003","10170","20307","1","1"
"1017004","10170","20343","2","1"
"1017005","10170","20307","2","1"
"1017101","10171","20344","0","1"
"1017102","10171","20344","1","1"
"1017103","10171","20309","1","1"
"1017104","10171","20344","2","1"
"1017105","10171","20309","2","1"
"1017201","10172","20345","0","1"
"1017202","10172","20346","0","1"
"1017203","10172","20345","1","1"
"1017204","10172","20346","1","1"
"1017205","10172","20320","1","1"
"1017206","10172","20345","2","1"
"1017207","10172","20346","2","1"
"1017208","10172","20320","2","1"
"1017301","10173","20347","0","1"
"1017302","10173","20347","1","1"
"1017303","10173","20307","1","1"
"1017304","10173","20347","2","1"
"1017305","10173","20307","2","1"
"1017401","10174","20102","0","1"
"1017402","10174","20102","1","1"
"1017403","10174","20311","1","1"
"1017404","10174","20102","2","1"
"1017405","10174","20311","2","1"
"1017501","10175","20349","0","1"
"1017502","10175","20350","0","1"
"1017503","10175","20349","1","1"
"1017504","10175","20350","1","1"
"1017505","10175","20321","1","1"
"1017506","10175","20349","2","1"
"1017507","10175","20350","2","1"
"1017508","10175","20321","2","1"
"1017601","10176","20351","0","1"
"1017602","10176","20351","1","1"
"1017603","10176","20307","1","1"
"1017604","10176","20351","2","1"
"1017605","10176","20307","2","1"
"1017701","10177","20352","0","1"
"1017702","10177","20352","1","1"
"1017703","10177","20319","1","1"
"1017704","10177","20352","2","1"
"1017705","10177","20319","2","1"
"1017801","10178","20353","0","1"
"1017802","10178","20353","1","1"
"1017803","10178","20320","1","1"
"1017804","10178","20353","2","1"
"1017805","10178","20320","2","1"
"1017901","10179","20354","0","1"
"1017902","10179","20354","1","1"
"1017903","10179","20307","1","1"
"1017904","10179","20354","2","1"
"1017905","10179","20307","2","1"
"1018001","10180","20355","0","1"
"1018002","10180","20356","0","1"
"1018003","10180","20355","1","1"
"1018004","10180","20356","1","1"
"1018005","10180","20319","1","1"
"1018006","10180","20355","2","1"
"1018007","10180","20356","2","1"
"1018008","10180","20319","2","1"
"1018101","10181","20357","0","1"
"1018102","10181","20358","0","1"
"1018103","10181","20357","1","1"
"1018104","10181","20358","1","1"
"1018105","10181","20321","1","1"
"1018106","10181","20357","2","1"
"1018107","10181","20358","2","1"
"1018108","10181","20321","2","1"
"1018201","10182","20360","0","1"
"1018202","10182","20361","0","1"
"1018203","10182","20360","1","1"
"1018204","10182","20361","1","1"
"1018205","10182","20307","1","1"
"1018206","10182","20360","2","1"
"1018207","10182","20361","2","1"
"1018208","10182","20307","2","1"
"1018301","10183","20362","0","1"
"1018302","10183","20362","1","1"
"1018303","10183","20308","1","1"
"1018304","10183","20362","2","1"
"1018305","10183","20308","2","1"
"1018401","10184","20363","0","1"
"1018402","10184","20364","0","1"
"1018403","10184","20363","1","1"
"1018404","10184","20364","1","1"
"1018405","10184","20321","1","1"
"1018406","10184","20363","2","1"
"1018407","10184","20364","2","1"
"1018408","10184","20321","2","1"
"1018501","10185","20365","0","1"
"1018502","10185","20365","1","1"
"1018503","10185","20307","1","1"
"1018504","10185","20365","2","1"
"1018505","10185","20307","2","1"
"1018601","10186","20366","0","1"
"1018602","10186","20367","0","1"
"1018603","10186","20366","1","1"
"1018604","10186","20367","1","1"
"1018605","10186","20309","1","1"
"1018606","10186","20366","2","1"
"1018607","10186","20367","2","1"
"1018608","10186","20309","2","1"
"1018701","10187","20368","0","1"
"1018702","10187","20368","1","1"
"1018703","10187","20321","1","1"
"1018704","10187","20368","2","1"
"1018705","10187","20321","2","1"
"1018801","10188","20369","0","1"
"1018802","10188","20370","0","1"
"1018803","10188","20369","1","1"
"1018804","10188","20370","1","1"
"1018805","10188","20307","1","1"
"1018806","10188","20369","2","1"
"1018807","10188","20370","2","1"
"1018808","10188","20307","2","1"
"1018901","10189","20371","0","1"
"1018902","10189","20371","1","1"
"1018903","10189","20319","1","1"
"1018904","10189","20371","2","1"
"1018905","10189","20319","2","1"
"1019001","10190","20372","0","1"
"1019002","10190","20372","1","1"
"1019003","10190","20320","1","1"
"1019004","10190","20372","2","1"
"1019005","10190","20320","2","1"
"1019101","10191","20373","0","1"
"1019102","10191","20374","0","1"
"1019103","10191","20375","0","1"
"1019104","10191","20373","1","1"
"1019105","10191","20374","1","1"
"1019106","10191","20375","1","1"
"1019107","10191","20307","1","1"
"1019108","10191","20373","2","1"
"1019109","10191","20374","2","1"
"1019110","10191","20375","2","1"
"1019111","10191","20307","2","1"
"1019201","10192","20376","0","1"
"1019202","10192","20377","0","1"
"1019203","10192","20376","1","1"
"1019204","10192","20377","1","1"
"1019205","10192","20309","1","1"
"1019206","10192","20376","2","1"
"1019207","10192","20377","2","1"
"1019208","10192","20309","2","1"
"1019301","10193","20378","0","1"
"1019303","10193","20378","1","1"
"1019305","10193","20321","1","1"
"1019306","10193","20378","2","1"
"1019308","10193","20321","2","1"
"1019401","10194","20380","0","1"
"1019402","10194","20380","1","1"
"1019403","10194","20307","1","1"
"1019404","10194","20380","2","1"
"1019405","10194","20307","2","1"
"1019501","10195","20381","0","1"
"1019502","10195","20382","0","1"
"1019503","10195","20381","1","1"
"1019504","10195","20382","1","1"
"1019505","10195","20319","1","1"
"1019506","10195","20381","2","1"
"1019507","10195","20382","2","1"
"1019508","10195","20319","2","1"
"1019601","10196","20383","0","1"
"1019602","10196","20384","0","1"
"1019603","10196","20385","0","1"
"1019604","10196","20383","1","1"
"1019605","10196","20384","1","1"
"1019606","10196","20385","1","1"
"1019607","10196","20320","1","1"
"1019608","10196","20383","2","1"
"1019609","10196","20384","2","1"
"1019610","10196","20385","2","1"
