"id","type","value"
"13034","1","1000"
"13035","1","1000"
"13036","1","1000"
"16001","1","1000"
"16002","1","1000"
"16003","1","1000"
"16004","1","1000"
"16005","1","1000"
"16006","1","1000"
"16007","1","1000"
"16008","1","1000"
"16009","1","1000"
"16010","1","1000"
"16011","1","1000"
"16012","1","1000"
"16013","1","1000"
"16014","1","1000"
"16015","1","1000"
"16016","1","1000"
"16017","1","1000"
"16018","1","1000"
"16019","1","1000"
"16020","1","1000"
"16021","1","1000"
"16022","1","1000"
"16023","1","1000"
"16024","1","1000"
"16025","1","1000"
"16026","1","1000"
"16027","1","1000"
"19001","1","1000"
"19002","1","1000"
"19003","1","1000"
"19004","1","1000"
"19005","1","1000"
"19006","1","1000"
"20001","1","1"
"20002","1","1"
"20003","1","1"
"20004","1","1"
"20005","1","1"
"20006","1","1"
"20007","1","1"
"20008","1","1"
"20009","1","1"
"20010","1","1"
"20011","1","1"
"20012","1","1"
"20013","1","1"
"20014","1","1"
"20015","1","1"
"20016","1","1"
"20017","1","1"
"20018","1","1"
"20019","1","1"
"20020","1","1"
"20021","1","1"
"20022","1","1"
"20023","1","1"
"20024","1","1"
"20025","1","1"
"20026","1","1"
"20027","1","1"
"20028","1","1"
"20029","1","1"
"20030","1","1"
"20031","1","1"
"20032","1","1"
"20033","1","1"
"20034","1","1"
"20035","1","1"
"20036","1","1"
"20037","1","1"
"20040","1","1"
"20041","1","1"
"20042","1","1"
"20043","1","1"
"20044","1","1"
"20045","1","1"
"20046","1","1"
"20047","1","1"
"20048","1","1"
"20050","1","1"
"20051","1","1"
"20052","1","1"
"20053","1","1"
"20054","1","1"
"20055","1","1"
"20056","1","1"
"20057","1","1"
"20058","1","1"
"20059","1","1"
"20060","1","1"
"20061","1","1"
"20062","1","1"
"20063","1","1"
"20064","1","1"
"20065","1","1"
"20066","1","1"
"20067","1","1"
"20068","1","1"
"20069","1","1"
"20070","1","1"
"20071","1","1"
"20072","1","1"
"20073","1","1"
"20074","1","1"
"20075","1","1"
"20076","1","1"
"20077","1","1"
"20078","1","1"
"20079","1","1"
"20080","1","1"
"20081","1","1"
"20082","1","1"
"20083","1","1"
"20084","1","1"
"20085","1","1"
"20086","1","1"
"20087","1","1"
"20088","1","1"
"20089","1","1"
"20090","1","1"
"20091","1","1"
"20092","1","1"
"20093","1","1"
"20094","1","1"
"20095","1","1"
"20096","1","1"
"20097","1","1"
"20098","1","1"
"20099","1","1"
"20100","1","1"
"20101","1","1"
"20102","1","1"
"20103","1","1"
"20104","1","1"
"20105","1","1"
"20106","1","1"
"20107","1","1"
"20108","1","1"
"20109","1","1"
"20110","1","1"
"20111","1","1"
"20112","1","1"
"20113","1","1"
"20114","1","1"
"20115","1","1"
"20116","1","1"
"20117","1","1"
"20118","1","1"
"20119","1","1"
"20120","1","1"
"20121","1","1"
"20122","1","1"
"20123","1","1"
"20124","1","1"
"20125","1","1"
"20126","1","1"
"20127","1","1"
"20131","1","1"
"20132","1","1"
"20133","1","1"
"20134","1","1"
"20135","1","1"
"20136","1","1"
"20138","1","1"
"20140","1","1"
"20141","1","1"
"20143","1","1"
"20145","1","1"
"20146","1","1"
"20147","1","1"
"20148","1","1"
"20149","1","1"
"20150","1","1"
"20154","1","1"
"20157","1","1"
"20158","1","1"
"20159","1","1"
"20160","1","1"
"20163","1","1"
"20164","1","1"
"20165","1","1"
"20166","1","1"
"20167","1","1"
"20168","1","1"
"20169","1","1"
"20170","1","1"
"20174","1","1"
"20175","1","1"
"20176","1","1"
"20177","1","1"
"20178","1","1"
"20179","1","1"
"20180","1","1"
"20181","1","1"
"20182","1","1"
"20183","1","1"
"20184","1","1"
"20185","1","1"
"20186","1","1"
"20187","1","1"
"20188","1","1"
"20189","1","1"
"20190","1","1"
"20191","1","1"
"20192","1","1"
"20193","1","1"
"20194","1","1"
"20195","1","1"
"20196","1","1"
"20197","1","1"
"20198","1","1"
"20199","1","1"
"20200","1","1"
"20201","1","1"
"20202","1","1"
"20203","1","1"
"20204","1","1"
"20205","1","1"
"20206","1","1"
"20207","1","1"
"20208","1","1"
"20209","1","1"
"20223","1","1"
"20225","1","1"
"20226","1","1"
"20227","1","1"
"20228","1","1"
"20229","1","1"
"20232","1","1"
"20233","1","1"
"20234","1","1"
"20235","1","1"
"20236","1","1"
"20243","1","1"
"20244","1","1"
"20245","1","1"
"20246","1","1"
"20249","1","1"
"20250","1","1"
"20251","1","1"
"20252","1","1"
"20253","1","1"
"20257","1","1"
"20258","1","1"
"20260","1","1"
"20261","1","1"
"20262","1","1"
"20263","1","1"
"20264","1","1"
"20265","1","1"
"20267","1","1"
"20268","1","1"
"20269","1","1"
"20270","1","1"
"20271","1","1"
"20272","1","1"
"20273","1","1"
"20274","1","1"
"20275","1","1"
"20276","1","1"
"20277","1","1"
"20278","1","1"
"20279","1","1"
"20280","1","1"
"20281","1","1"
"20282","1","1"
"20284","1","1"
"20286","1","1"
"20287","1","1"
"20288","900","50"
"20289","900","25"
"20299","1","1"
"20303","1","1"
"20305","1","1"
"20306","1","1"
"20307","1","1"
"20308","1","1"
"20309","1","1"
"20310","1","1"
"20311","1","1"
"20318","1","1"
"20319","1","1"
"20320","1","1"
"20321","1","1"
"20322","1","1"
"20323","1","1"
"20324","1","1"
"20325","1","1"
"20326","1","1"
"20327","1","1"
"20328","1","1"
"20329","1","1"
"20330","1","1"
"20331","1","1"
"20332","1","1"
"20333","1","1"
"20334","1","1"
"20335","1","1"
"20336","1","1"
"20337","1","1"
"20338","1","1"
"20339","1","1"
"20340","1","1"
"20341","1","1"
"20342","1","1"
"40001","1","1"
"40002","1","1"
"40003","1","1"
"50001","1","1"
"50002","1","1"
"50003","1","1"
"50004","1","1"
"50005","1","1"
"50006","1","1"
"60001","1","1"
"60002","1","1"
"90001","1","1"
"90002","1","1"
"90003","1","1"
"90004","1","1"
"90005","1","1"
"90006","1","1"
"90007","1","1"
"90008","1","1"
"90009","1","1"
"90010","1","1"
"90011","1","1"
"90012","1","1"
"90013","1","1"
"90014","1","1"
"90015","1","1"
"90016","1","1"
"90017","1","1"
"90018","1","1"
"90019","1","1"
"99001","1","1"
"100001","1","1"
"100002","1","1"
"100003","1","1"
"100004","1","1"
"100005","1","1"
"100006","1","1"
"100007","1","1"
"100008","1","1"
"100009","1","1"
"100010","1","1"
"100011","1","1"
"100012","1","1"
"100013","1","1"
"100014","1","1"
"100015","1","1"
"100016","1","1"
"100017","1","1"
"100018","1","1"
"100019","1","1"
"100020","1","1"
"100021","1","1"
"100022","1","1"
"100023","1","1"
"100024","1","1"
"100025","1","1"
"100026","1","1"
"100027","1","1"
"100028","1","1"
"100029","1","1"
