"id","m_character_id","asset_id","name","ability_no","order"
"130000103","1300001","Ability_Defense_01","みんなも踊って！","10013","3"
"130000301","1300003","Ability_SpecialAttack_01","ウルフショット","10017","1"
"130000302","1300003","Ability_Critical_01","銀の弾丸","10018","2"
"130000303","1300003","Ability_Attack_01","銀狼の鋭牙","10019","3"
"130000401","1300004","Ability_SpecialAttack_01","ポーション投擲","10020","1"
"130000402","1300004","Ability_ConditionAttack_01","不安定な錬金薬","10021","2"
"130000403","1300004","Ability_Attack_01","古の血","10022","3"
"130000501","1300005","Ability_SpecialAttack_01","ソウルコネクト","10023","1"
"130000502","1300005","Ability_Attack_01","スピリットエコー","10024","2"
"130000503","1300005","Ability_Critical_01","ノワールの鼓舞","10025","3"
"130000601","1300006","Ability_SpecialAssist_01","魔石採掘","10026","1"
"130000602","1300006","Ability_Attack_01","アタックサポート","10027","2"
"130000603","1300006","Ability_Defense_01","固い意志","10028","3"
"130000701","1300007","Ability_SpecialAttack_01","炎の弓使い","10029","1"
"130000702","1300007","Ability_Attack_01","スナイプショット","10030","2"
"130000703","1300007","Ability_Attack_01","バーニングパニッシュ","10031","3"
"130000801","1300008","Ability_Critical_01","空中戦","10092","1"
"130000802","1300008","Ability_ConditionResist_01","アンドロイド","10093","2"
"130000803","1300008","Ability_Attack_01","リチャージャー","10094","3"
"130000901","1300009","Ability_SpecialAttack_01","氷の魔術師","10095","1"
"130000902","1300009","Ability_ConditionAttack_01","凍てつく魔力","10096","2"
"130000903","1300009","Ability_Attack_01","絶対零度の楔","10097","3"
"130001001","1300010","Ability_SpecialAttack_01","一矢一閃","10098","1"
"130001002","1300010","Ability_ConditionAttack_01","猟人の罠","10099","2"
"130001003","1300010","Ability_Critical_01","ムードメーカー","10100","3"
"130001101","1300011","Ability_SpecialAssist_01","スキルストリーミング","10032","1"
"130001102","1300011","Ability_Attack_01","超人気ストリーマー","10033","2"
"130001103","1300011","Ability_Manatype_Grant","ぼくならできる！","10034","3"
"130001401","1300014","Ability_SpecialAttack_01","海賊流射撃術","10038","1"
"130001402","1300014","Ability_Attack_01","砲撃術","10039","2"
"130001403","1300014","Ability_Attack_01","部隊指揮","10040","3"
"130001501","1300015","Ability_SpecialAttack_01","炎の剣士","10041","1"
"130001502","1300015","Ability_Attack_01","イグニッション","10042","2"
"130001503","1300015","Ability_Critical_01","ブレイズエッジ","10043","3"
"130001601","1300016","Ability_SpecialAttack_01","水霊の加護","10044","1"
"130001602","1300016","Ability_Critical_01","明鏡止水","10045","2"
"130001603","1300016","Ability_Critical_01","鏡花水月","10046","3"
"130001901","1300019","Ability_SpecialAttack_01","草魔術","10050","1"
"130001902","1300019","Ability_Attack_01","光合成","10051","2"
"130001903","1300019","Ability_Attack_01","植物使い","10052","3"
"130002001","1300020","Ability_SpecialAttack_01","魔導炉","10053","1"
"130002002","1300020","Ability_Defense_01","魔法人形","10054","2"
"130002003","1300020","Ability_Critical_01","クロックワーク","10055","3"
"130002101","1300021","Ability_SpecialAttack_01","氷の刃","10056","1"
"130002102","1300021","Ability_Attack_01","ノブレスオブリージュ","10057","2"
"130002103","1300021","Ability_Manatype_Grant","エヴェイユ・ドゥ・グラス","10058","3"
"130002301","1300023","Ability_SpecialAttack_01","ヒールデリバリー","10062","1"
"130002302","1300023","Ability_ConditionResist_01","看板娘","10063","2"
"130002303","1300023","Ability_Mana_01","マナデリバリー","10064","3"
"130002401","1300024","Ability_SpecialAttack_01","スイートギフト","10065","1"
"130002402","1300024","Ability_ConditionResist_01","清潔なお菓子工房","10066","2"
"130002403","1300024","Ability_Attack_01","パティシエール","10067","3"
"130002601","1300026","Ability_SpecialAttack_01","妖刀","10071","1"
"130002602","1300026","Ability_ConditionAttack_01","妖気解放","10072","2"
"130002603","1300026","Ability_Attack_01","神速の剣技","10073","3"
"130002701","1300027","Ability_SpecialAttack_01","水霊の癒し","10074","1"
"130002702","1300027","Ability_Defense_01","精霊の弓","10075","2"
"130002703","1300027","Ability_ConditionResist_01","アクアヴェール","10076","3"
"130002901","1300029","Ability_SpecialAttack_01","鬼の盾","10080","1"
"130002902","1300029","Ability_Defense_01","守りの型","10081","2"
"130002903","1300029","Ability_Heal_01","不屈の魂","10082","3"
"130003001","1300030","Ability_SpecialAttack_01","メイドステップ","10083","1"
"130003002","1300030","Ability_Attack_01","メイドの心得","10084","2"
"130003003","1300030","Ability_Critical_01","ティータイム","10085","3"
"130003101","1300031","Ability_SpecialAttack_01","式神の恩恵","10105","1"
"130003102","1300031","Ability_Attack_01","形代の導き","10106","2"
"130003103","1300031","Ability_ConditionResist_01","破邪の結界","10107","3"
"130003201","1300032","Ability_SpecialAssist_01","激励の鎚","10108","1"
"130003202","1300032","Ability_Attack_01","鍛冶師の恵み","10109","2"
"130003203","1300032","Ability_Attack_01","犬っ子エール","10110","3"
"130003301","1300033","Ability_SpecialAttack_01","英雄のワルツ","10153","1"
"130003302","1300033","Ability_Attack_01","破滅のディルジ","10154","2"
"130003303","1300033","Ability_ConditionAttack_01","幸運のハーモニー","10155","3"
"130003401","1300034","Ability_SpecialAttack_01","蝶の舞","10159","1"
"130003402","1300034","Ability_Critical_01","天命の掌握","10160","2"
"130003403","1300034","Ability_Attack_01","不朽の光明","10161","3"
"130003501","1300035","Ability_Attack_01","ぶち上がり☆デビルスカイ","10164","1"
"130003502","1300035","Ability_ConditionAttack_01","つらたん呪縛","10165","2"
"130003503","1300035","Ability_Manatype_Grant","おけまるトラップ","10166","3"
"130003701","1300037","Ability_SpecialAttack_01","星詠み","10167","1"
"130003702","1300037","Ability_Attack_01","スターオラクル","10168","2"
"130003703","1300037","Ability_Attack_01","星の煌めき","10169","3"
"130004101","1300041","Ability_SpecialAssist_01","抜けない騎士道精神","10156","1"
"130004102","1300041","Ability_Mana_01","一攫千金の情熱","10157","2"
"130004103","1300041","Ability_Reward_01","トレジャーハンター","10158","3"
