"CharacterId","NormalSkillId","NormalSkillName","IntervalSeconds","ChargePoint","AttackRangeType","AttackAreaMax","AttackAreaDepth","DirectDamageEventCount","DirectDamageTimes","HitCheckEventCount","HitCheckTimes","TimelineDurationSeconds","FireEventCount","FireTimes","ObservedHitEventCount","ObservedEventTimes","TimingBasis","ProjectileDamageEventCount","ProjectileLandingTimes","TotalDamageEventCount","HasProjectileTrack","ProjectileAssets","TimelineTracks","NormalSkillAsset","AttackEffectAsset","AttackEffectSource"
"100901000G","1003000","通常：拳","1.5","0","1","1","1.8","3","0.333333|0.5|0.7","3","0.333333|0.5|0.7","0.8","0","","3","0.333333|0.5|0.7","direct_hit","0","","3","False","","Hit Check Track|Hit Damage Skill Track|Hit Effect Target Track|Hit Knockback Skill Track|Hit Play Chara Se Track","Normal1003000.skill_asset_6.asset","AttackSkillEffect_61.asset","AttackSkillEffect"
"101001000G","10004","通常：弓","1.7","100","2","0","1.8","0","","0","","1.25","1","1.116667","1","1.116667","projectile_launch","0","","0","True","","Fire Skill Track (1)|Play Skill Se Track","Normal10004.skill_asset_8.asset","AttackSkillEffect_60.asset","AttackSkillEffect"
"101101000G","10002","通常：大剣","1.9","100","1","1.75","1.8","2","0.466667|0.666667","5","0.35|0.416667|0.466667|0.616667|0.666667","1.05","0","","2","0.466667|0.666667","direct_hit","0","","2","False","","Hit Check Track|Hit Damage Skill Track|Hit Effect Target Track|Hit Effect Target Track (1)|Hit Effect Target Track (2)|Hit Effect Target Track (3)|Hit Effect Target Track (4)|Hit Effect Target Track (5)|Hit Knockback Skill Track","Normal10002.skill_asset_7.asset","AttackSkillEffect_59.asset","AttackSkillEffect"
"101201000G","10006","通常：銃","2.5","100","1","6","4","0","","0","","0.633333","1","0.616667","1","0.616667","projectile_launch","0","","0","True","","Fire Skill Track|Play Chara Se Track","Normal10006.skill_asset_9.asset","AttackSkillEffect_58.asset","AttackSkillEffect"
"101201001G","10006","通常：銃","2.5","100","1","6","4","0","","0","","0.633333","1","0.616667","1","0.616667","projectile_launch","0","","0","True","","Fire Skill Track|Play Chara Se Track","Normal10006.skill_asset_8.asset","AttackSkillEffect_57.asset","AttackSkillEffect"
"101301000G","20001","通常：回復","1.9","100","2","2.5","1.8","0","","0","","0","0","","0","","none","0","","0","False","","","Normal20001.skill_asset_6.asset","","Attack"
"101401000G","0","採掘攻撃","3","40","1","5","1.8","0","","0","","0","0","","0","","none","0","","0","False","","","AttackCollection.skill_asset_7.asset","","Attack"
"101501000G","10001","通常：片手剣","1.7","100","1","1.2","1.8","1","0.95","1","0.95","1.016667","0","","1","0.95","direct_hit","0","","1","False","","ActionSkill|Hit Check Track|Hit Damage Skill Track|Hit Effect Target Track|Hit Knockback Skill Track","Normal10001.skill_asset_7.asset","AttackSkillEffect_56.asset","AttackSkillEffect"
"101601000G","10004","通常：弓","1.7","100","2","0","1.8","0","","0","","0.366667","1","0.35","1","0.35","projectile_launch","0","","0","True","","Fire Skill Track","Normal10004.skill_asset_7.asset","AttackSkillEffect_55.asset","AttackSkillEffect"
"101601001G","10004","通常：弓","1.7","100","2","0","1.8","0","","0","","0.366667","1","0.35","1","0.35","projectile_launch","0","","0","True","","Fire Skill Track","Normal10004.skill_asset_6.asset","AttackSkillEffect_54.asset","AttackSkillEffect"
"101701000G","10003","通常：杖","2.1","100","2","0","1.8","0","","0","","1.233333","1","1.216667","1","1.216667","projectile_launch","0","","0","True","","Fire Skill Track","Normal10003.skill_asset_7.asset","AttackSkillEffect_53.asset","AttackSkillEffect"
"101801000G","0","採掘攻撃","3","40","1","5","1.8","0","","0","","0","0","","0","","none","0","","0","False","","","AttackCollection.skill_asset_6.asset","","Attack"
"101901000G","10006","通常：銃","2.5","100","1","6","4","0","","0","","0.633333","1","0.616667","1","0.616667","projectile_launch","0","","0","True","","Fire Skill Track|Play Chara Se Track","Normal10006.skill_asset_7.asset","AttackSkillEffect_52.asset","AttackSkillEffect"
"102001000G","10002","通常：大剣","1.9","100","1","1.75","1.8","1","2.033333","1","2.033333","2.100118","0","","1","2.033333","direct_hit","0","","1","False","","Hit Check Track|Hit Damage Skill Track|Hit Effect Target Track","Normal10002.skill_asset_6.asset","AttackSkillEffect_49.asset","AttackSkillEffect"
"102101000G","1003000","通常：拳","1.5","0","1","1","1.8","3","0.333333|0.5|0.7","3","0.333333|0.5|0.7","0.8","0","","3","0.333333|0.5|0.7","direct_hit","0","","3","False","","Hit Check Track|Hit Damage Skill Track|Hit Effect Target Track|Hit Knockback Skill Track|Hit Play Chara Se Track","Normal1003000.skill_asset_5.asset","AttackSkillEffect_48.asset","AttackSkillEffect"
"102301000G","20001","通常：回復","1.9","100","2","2.5","1.8","0","","0","","0","0","","0","","none","0","","0","False","","","Normal20001.skill_asset_5.asset","","Attack"
"102401000G","10003","通常：杖","2.1","100","2","0","1.8","0","","0","","0.433333","1","0.416667","1","0.416667","projectile_launch","0","","0","True","","Fire Skill Track","Normal10003.skill_asset_6.asset","AttackSkillEffect_47.asset","AttackSkillEffect"
"102501000G","10002","通常：大剣","1.9","100","1","1.75","1.8","1","0.766667","1","0.766667","0.866667","0","","1","0.766667","direct_hit","0","","1","False","","Hit Check Track|Hit Damage Skill Track|Hit Effect Target Track|Hit Knockback Skill Track|Hit Play Chara Se Track","Normal10002.skill_asset_5.asset","AttackSkillEffect_46.asset","AttackSkillEffect"
"102501001G","10002","通常：大剣","1.9","100","1","1.75","1.8","1","0.766667","1","0.766667","0.866667","0","","1","0.766667","direct_hit","0","","1","False","","Hit Check Track|Hit Damage Skill Track|Hit Effect Target Track|Hit Knockback Skill Track|Hit Play Chara Se Track","Normal10002.skill_asset_4.asset","AttackSkillEffect_45.asset","AttackSkillEffect"
"102601000G","10001","通常：片手剣","1.7","100","1","1.2","1.8","3","0.333333|0.716667|1.2","3","0.333333|0.716667|1.2","1.266667","0","","3","0.333333|0.716667|1.2","direct_hit","0","","3","False","","Hit Check Track|Hit Damage Skill Track|Hit Effect Target Track|Hit Knockback Skill Track|Hit Play Chara Se Track","Normal10001.skill_asset_6.asset","AttackSkillEffect_44.asset","AttackSkillEffect"
"102701000G","1003000","通常：拳","1.5","0","1","1","1.8","3","0.333333|0.5|0.7","3","0.333333|0.5|0.7","0.8","0","","3","0.333333|0.5|0.7","direct_hit","0","","3","False","","Hit Check Track|Hit Damage Skill Track|Hit Effect Target Track|Hit Knockback Skill Track|Hit Play Chara Se Track","Normal1003000.skill_asset_4.asset","AttackSkillEffect_43.asset","AttackSkillEffect"
"102801000G","0","採掘攻撃","3","40","1","5","1.8","0","","0","","0","0","","0","","none","0","","0","False","","","AttackCollection.skill_asset_5.asset","","Attack"
"102901000G","20001","通常：回復","1.9","100","2","2.5","1.8","0","","0","","0","0","","0","","none","0","","0","False","","","Normal20001.skill_asset_4.asset","","Attack"
"103001000G","10001","通常：片手剣","1.7","100","1","1.2","1.8","1","1.216667","1","1.216667","1.283333","0","","1","1.216667","direct_hit","0","","1","False","","Hit Check Track|Hit Damage Skill Track|Hit Effect Target Track|Hit Knockback Skill Track","Normal10001.skill_asset_5.asset","AttackSkillEffect_42.asset","AttackSkillEffect"
"103101000G","10001","通常：片手剣","1.7","100","1","1.2","1.8","3","0.333333|0.716667|1.2","3","0.333333|0.716667|1.2","1.266667","0","","3","0.333333|0.716667|1.2","direct_hit","0","","3","False","","Hit Check Track|Hit Damage Skill Track|Hit Effect Target Track|Hit Knockback Skill Track|Hit Play Chara Se Track","Normal10001.skill_asset_4.asset","AttackSkillEffect_41.asset","AttackSkillEffect"
"103201000G","0","採掘攻撃","3","40","1","5","1.8","0","","0","","0","0","","0","","none","0","","0","False","","","AttackCollection.skill_asset_4.asset","","Attack"
"103301000G","10004","通常：弓","1.7","100","2","0","1.8","0","","0","","0.366667","1","0.35","1","0.35","projectile_launch","0","","0","True","","Fire Skill Track","Normal10004.skill_asset_5.asset","AttackSkillEffect_40.asset","AttackSkillEffect"
"103401000G","10001","通常：片手剣","1.7","100","1","1.2","1.8","3","0.333333|0.716667|1.2","3","0.333333|0.716667|1.2","1.266667","0","","3","0.333333|0.716667|1.2","direct_hit","0","","3","False","","Hit Check Track|Hit Damage Skill Track|Hit Effect Target Track|Hit Knockback Skill Track|Hit Play Chara Se Track","Normal10001.skill_asset_3.asset","AttackSkillEffect_39.asset","AttackSkillEffect"
"103501000G","10002","通常：大剣","1.9","100","1","1.75","1.8","1","0.766667","1","0.766667","0.866667","0","","1","0.766667","direct_hit","0","","1","False","","Hit Check Track|Hit Damage Skill Track|Hit Effect Target Track|Hit Knockback Skill Track|Hit Play Chara Se Track","Normal10002.skill_asset_3.asset","AttackSkillEffect_38.asset","AttackSkillEffect"
"103601000G","10006","通常：銃","2.5","100","1","6","4","0","","0","","0.633333","1","0.616667","1","0.616667","projectile_launch","0","","0","True","","Fire Skill Track|Play Chara Se Track","Normal10006.skill_asset_6.asset","AttackSkillEffect_37.asset","AttackSkillEffect"
"103701000G","10004","通常：弓","1.7","100","2","0","1.8","0","","0","","0.366667","1","0.35","1","0.35","projectile_launch","0","","0","True","","Fire Skill Track","Normal10004.skill_asset_4.asset","AttackSkillEffect_36.asset","AttackSkillEffect"
"103801000G","10003","通常：杖","2.1","100","2","0","1.8","0","","0","","0.433333","1","0.416667","1","0.416667","projectile_launch","0","","0","True","","Fire Skill Track","Normal10003.skill_asset_5.asset","AttackSkillEffect_35.asset","AttackSkillEffect"
"103901000G","20001","通常：回復","1.9","100","2","2.5","1.8","0","","0","","0","0","","0","","none","0","","0","False","","","Normal20001.skill_asset_3.asset","","Attack"
"104001000G","1003000","通常：拳","1.5","0","1","1","1.8","3","0.333333|0.5|0.7","3","0.333333|0.5|0.7","0.8","0","","3","0.333333|0.5|0.7","direct_hit","0","","3","False","","Hit Check Track|Hit Damage Skill Track|Hit Effect Target Track|Hit Knockback Skill Track|Hit Play Chara Se Track","Normal1003000.skill_asset_3.asset","AttackSkillEffect_34.asset","AttackSkillEffect"
"104101000G","10006","通常：銃","2.5","100","1","6","4","0","","0","","0.633333","1","0.616667","1","0.616667","projectile_launch","0","","0","True","","Fire Skill Track|Play Chara Se Track","Normal10006.skill_asset_5.asset","AttackSkillEffect_33.asset","AttackSkillEffect"
"104201000G","10002","通常：大剣","1.9","100","1","1.75","1.8","1","0.766667","1","0.766667","0.866667","0","","1","0.766667","direct_hit","0","","1","False","","Hit Check Track|Hit Damage Skill Track|Hit Effect Target Track|Hit Knockback Skill Track|Hit Play Chara Se Track","Normal10002.skill_asset_2.asset","AttackSkillEffect_32.asset","AttackSkillEffect"
"104301000G","0","採掘攻撃","3","40","1","5","1.8","0","","0","","0","0","","0","","none","0","","0","False","","","AttackCollection.skill_asset_3.asset","","Attack"
"104401000G","10003","通常：杖","2.1","100","2","0","1.8","0","","0","","0.433333","1","0.416667","1","0.416667","projectile_launch","0","","0","True","","Fire Skill Track","Normal10003.skill_asset_4.asset","AttackSkillEffect_31.asset","AttackSkillEffect"
"104501000G","1003000","通常：拳","1.5","0","1","1","1.8","3","0.333333|0.5|0.7","3","0.333333|0.5|0.7","0.8","0","","3","0.333333|0.5|0.7","direct_hit","0","","3","False","","Hit Check Track|Hit Damage Skill Track|Hit Effect Target Track|Hit Knockback Skill Track|Hit Play Chara Se Track","Normal1003000.skill_asset_2.asset","AttackSkillEffect_30.asset","AttackSkillEffect"
"104601000G","10004","通常：弓","1.7","100","2","0","1.8","0","","0","","0.366667","1","0.35","1","0.35","projectile_launch","0","","0","True","","Fire Skill Track","Normal10004.skill_asset_3.asset","AttackSkillEffect_29.asset","AttackSkillEffect"
"104701000G","20001","通常：回復","1.9","100","2","2.5","1.8","0","","0","","0","0","","0","","none","0","","0","False","","","Normal20001.skill_asset_2.asset","","Attack"
"104801000G","10002","通常：大剣","1.9","100","1","1.75","1.8","1","0.766667","1","0.766667","0.866667","0","","1","0.766667","direct_hit","0","","1","False","","Hit Check Track|Hit Damage Skill Track|Hit Effect Target Track|Hit Knockback Skill Track|Hit Play Chara Se Track","Normal10002.skill_asset_1.asset","AttackSkillEffect_28.asset","AttackSkillEffect"
"104901000G","10003","通常：杖","2.1","100","2","0","1.8","0","","0","","0.433333","1","0.416667","1","0.416667","projectile_launch","0","","0","True","","Fire Skill Track","Normal10003.skill_asset_3.asset","AttackSkillEffect_27.asset","AttackSkillEffect"
"105001000G",,,,,,,,"0","","0","","0","0","","0","","none","0","","0","False","","","","","Attack"
"105101000G","10002","通常：大剣","1.9","100","1","1.75","1.8","1","0.766667","1","0.766667","0.866667","0","","1","0.766667","direct_hit","0","","1","False","","Hit Check Track|Hit Damage Skill Track|Hit Effect Target Track|Hit Knockback Skill Track|Hit Play Chara Se Track","Normal10002.skill_asset_0.asset","AttackSkillEffect_26.asset","AttackSkillEffect"
"105201000G","10006","通常：銃","2.5","100","1","6","4","0","","0","","0.633333","1","0.616667","1","0.616667","projectile_launch","0","","0","True","","Fire Skill Track|Play Chara Se Track","Normal10006.skill_asset_4.asset","AttackSkillEffect_25.asset","AttackSkillEffect"
"105301000G","10006","通常：銃","2.5","100","1","6","4","0","","0","","0.633333","1","0.616667","1","0.616667","projectile_launch","0","","0","True","","Fire Skill Track|Play Chara Se Track","Normal10006.skill_asset_3.asset","AttackSkillEffect_24.asset","AttackSkillEffect"
"105401000G","10001","通常：片手剣","1.7","100","1","1.2","1.8","3","0.333333|0.716667|1.2","3","0.333333|0.716667|1.2","1.266667","0","","3","0.333333|0.716667|1.2","direct_hit","0","","3","False","","Hit Check Track|Hit Damage Skill Track|Hit Effect Target Track|Hit Knockback Skill Track|Hit Play Chara Se Track","Normal10001.skill_asset_2.asset","AttackSkillEffect_23.asset","AttackSkillEffect"
"105501000G","10001","通常：片手剣","1.7","100","1","1.2","1.8","3","0.333333|0.716667|1.2","3","0.333333|0.716667|1.2","1.266667","0","","3","0.333333|0.716667|1.2","direct_hit","0","","3","False","","Hit Check Track|Hit Damage Skill Track|Hit Effect Target Track|Hit Knockback Skill Track|Hit Play Chara Se Track","Normal10001.skill_asset_1.asset","AttackSkillEffect_22.asset","AttackSkillEffect"
"105601000G","10004","通常：弓","1.7","100","2","0","1.8","0","","0","","0.366667","1","0.35","1","0.35","projectile_launch","0","","0","True","","Fire Skill Track","Normal10004.skill_asset_2.asset","AttackSkillEffect_21.asset","AttackSkillEffect"
"105701000G","10004","通常：弓","1.7","100","2","0","1.8","0","","0","","0.366667","1","0.35","1","0.35","projectile_launch","0","","0","True","","Fire Skill Track","Normal10004.skill_asset_1.asset","AttackSkillEffect_20.asset","AttackSkillEffect"
"105801000G","10001","通常：片手剣","1.7","100","1","1.2","1.8","3","0.333333|0.716667|1.2","3","0.333333|0.716667|1.2","1.266667","0","","3","0.333333|0.716667|1.2","direct_hit","0","","3","False","","Hit Check Track|Hit Damage Skill Track|Hit Effect Target Track|Hit Knockback Skill Track|Hit Play Chara Se Track","Normal10001.skill_asset_0.asset","AttackSkillEffect_19.asset","AttackSkillEffect"
"105901000G","0","採掘攻撃","3","40","1","5","1.8","0","","0","","0","0","","0","","none","0","","0","False","","","AttackCollection.skill_asset_2.asset","","Attack"
"106001000G","10004","通常：弓","1.7","100","2","0","1.8","0","","0","","0.366667","1","0.35","1","0.35","projectile_launch","0","","0","True","","Fire Skill Track","Normal10004.skill_asset_0.asset","AttackSkillEffect_18.asset","AttackSkillEffect"
"106101000G","1003000","通常：拳","1.5","0","1","1","1.8","3","0.333333|0.5|0.7","3","0.333333|0.5|0.7","0.8","0","","3","0.333333|0.5|0.7","direct_hit","0","","3","False","","Hit Check Track|Hit Damage Skill Track|Hit Effect Target Track|Hit Knockback Skill Track|Hit Play Chara Se Track","Normal1003000.skill_asset_1.asset","AttackSkillEffect_17.asset","AttackSkillEffect"
"106101001G","1003000","通常：拳","1.5","0","1","1","1.8","3","0.333333|0.5|0.7","3","0.333333|0.5|0.7","0.8","0","","3","0.333333|0.5|0.7","direct_hit","0","","3","False","","Hit Check Track|Hit Damage Skill Track|Hit Effect Target Track|Hit Knockback Skill Track|Hit Play Chara Se Track","Normal1003000.skill_asset_0.asset","AttackSkillEffect_16.asset","AttackSkillEffect"
"106201000G","20001","通常：回復","1.9","100","2","2.5","1.8","0","","0","","0","0","","0","","none","0","","0","False","","","Normal20001.skill_asset_1.asset","","Attack"
"106201001G","20001","通常：回復","1.9","100","2","2.5","1.8","0","","0","","0","0","","0","","none","0","","0","False","","","Normal20001.skill_asset_0.asset","","Attack"
"106301000G","0","採掘攻撃","3","40","1","5","1.8","0","","0","","0","0","","0","","none","0","","0","False","","","AttackCollection.skill_asset_1.asset","","Attack"
"106301001G","0","採掘攻撃","3","40","1","5","1.8","0","","0","","0","0","","0","","none","0","","0","False","","","AttackCollection.skill_asset_0.asset","","Attack"
"106401000G","10004","通常：弓","1.7","100","2","0","1.8","0","","0","","0.366667","1","0.35","1","0.35","projectile_launch","0","","0","True","","Fire Skill Track","Normal10004.skill_asset.asset","AttackSkillEffect_15.asset","AttackSkillEffect"
"106501000G","10001","通常：片手剣","1.7","100","1","1.2","1.8","3","0.333333|0.716667|1.2","3","0.333333|0.716667|1.2","1.266667","0","","3","0.333333|0.716667|1.2","direct_hit","0","","3","False","","Hit Check Track|Hit Damage Skill Track|Hit Effect Target Track|Hit Knockback Skill Track|Hit Play Chara Se Track","Normal10001.skill_asset.asset","AttackSkillEffect_14.asset","AttackSkillEffect"
"106601000G","10006","通常：銃","2.5","100","1","6","4","0","","0","","0.633333","1","0.616667","1","0.616667","projectile_launch","0","","0","True","","Fire Skill Track|Play Chara Se Track","Normal10006.skill_asset_2.asset","AttackSkillEffect_13.asset","AttackSkillEffect"
"106601001G","10006","通常：銃","2.5","100","1","6","4","0","","0","","0.633333","1","0.616667","1","0.616667","projectile_launch","0","","0","True","","Fire Skill Track|Play Chara Se Track","Normal10006.skill_asset_1.asset","AttackSkillEffect_12.asset","AttackSkillEffect"
"106701000G","1003000","通常：拳","1.5","0","1","1","1.8","3","0.333333|0.5|0.7","3","0.333333|0.5|0.7","0.8","0","","3","0.333333|0.5|0.7","direct_hit","0","","3","False","","Hit Check Track|Hit Damage Skill Track|Hit Effect Target Track|Hit Knockback Skill Track|Hit Play Chara Se Track","Normal1003000.skill_asset.asset","AttackSkillEffect_11.asset","AttackSkillEffect"
"106801000G","10003","通常：杖","2.1","100","2","0","1.8","0","","0","","0.433333","1","0.416667","1","0.416667","projectile_launch","0","","0","True","","Fire Skill Track","Normal10003.skill_asset_2.asset","AttackSkillEffect_10.asset","AttackSkillEffect"
"106901000G","10006","通常：銃","2.5","100","1","6","4","0","","0","","0.633333","1","0.616667","1","0.616667","projectile_launch","0","","0","True","","Fire Skill Track","Normal10006.skill_asset_0.asset","AttackSkillEffect_9.asset","AttackSkillEffect"
"106901001G","10006","通常：銃","2.5","100","1","6","4","0","","0","","0.633333","1","0.616667","1","0.616667","projectile_launch","0","","0","True","","Fire Skill Track","Normal10006.skill_asset.asset","AttackSkillEffect_8.asset","AttackSkillEffect"
"107001000G","10002","通常：大剣","1.9","100","1","1.75","1.8","1","0.766667","1","0.766667","0.866667","0","","1","0.766667","direct_hit","0","","1","False","","Hit Check Track|Hit Damage Skill Track|Hit Effect Target Track|Hit Knockback Skill Track|Hit Play Chara Se Track","Normal10002.skill_asset.asset","AttackSkillEffect_7.asset","AttackSkillEffect"
"107101000G","10003","通常：杖","2.1","100","2","0","1.8","0","","0","","0.533333","1","0.516667","1","0.516667","projectile_launch","0","","0","True","","Fire Skill Track","Normal10003.skill_asset_1.asset","AttackSkillEffect_6.asset","AttackSkillEffect"
"107201000G","10003","通常：杖","2.1","100","2","0","1.8","0","","0","","0.433333","1","0.416667","1","0.416667","projectile_launch","0","","0","True","","Fire Skill Track","Normal10003.skill_asset_0.asset","AttackSkillEffect_5.asset","AttackSkillEffect"
"107301000G",,,,,,,,"3","0.333333|0.5|0.7","3","0.333333|0.5|0.7","0.8","0","","3","0.333333|0.5|0.7","direct_hit","0","","3","False","","Hit Check Track|Hit Damage Skill Track|Hit Effect Target Track|Hit Knockback Skill Track|Hit Play Chara Se Track","","AttackSkillEffect_4.asset","AttackSkillEffect"
"107401000G",,,,,,,,"0","","0","","0.8","0","","0","","none","0","","0","False","","Control Track|Effect Target Track|ShadowAnimation|Spine Animation State Track","","Attack_8.asset","Attack"
"107601000G","20001","通常：回復","1.9","100","2","2.5","1.8","0","","0","","0","0","","0","","none","0","","0","False","","","Normal20001.skill_asset.asset","","Attack"
"107701000G","0","採掘攻撃","3","40","1","5","1.8","0","","0","","0","0","","0","","none","0","","0","False","","","AttackCollection.skill_asset.asset","","Attack"
"107801000G",,,,,,,,"3","0.333333|0.716667|1.2","3","0.333333|0.716667|1.2","1.266667","0","","3","0.333333|0.716667|1.2","direct_hit","0","","3","False","","Hit Check Track|Hit Damage Skill Track|Hit Effect Target Track|Hit Knockback Skill Track|Hit Play Chara Se Track","","AttackSkillEffect_3.asset","AttackSkillEffect"
"107901000G",,,,,,,,"1","0.766667","1","0.766667","0.866667","0","","1","0.766667","direct_hit","0","","1","False","","Hit Check Track|Hit Damage Skill Track|Hit Effect Target Track|Hit Knockback Skill Track|Hit Play Chara Se Track","","AttackSkillEffect_2.asset","AttackSkillEffect"
"108101000G",,,,,,,,"0","","0","","0.366667","1","0.35","1","0.35","projectile_launch","0","","0","True","","Fire Skill Track","","AttackSkillEffect_1.asset","AttackSkillEffect"
"108301000G",,,,,,,,"3","0.333333|0.5|0.7","3","0.333333|0.5|0.7","0.8","0","","3","0.333333|0.5|0.7","direct_hit","0","","3","False","","Hit Check Track|Hit Damage Skill Track|Hit Effect Target Track|Hit Knockback Skill Track|Hit Play Chara Se Track","","AttackSkillEffect_0.asset","AttackSkillEffect"
"108701000G","10003","通常：杖","2.1","100","2","0","1.8","0","","0","","0.433333","1","0.416667","1","0.416667","projectile_launch","0","","0","True","","Fire Skill Track","Normal10003.skill_asset.asset","AttackSkillEffect.asset","AttackSkillEffect"
