"CharacterId","SkillType","SkillLevel","DamageEventCount","DamagePercentValues","DamagePercentRawSum","FirstDamagePercent","HitCountValues","TargetCountValues","AllKeys"
"100101000G","chainSkillValues","1","0","","0","","","","IMPACTFAILED.DAMAGE.DAMAGE_FIRST_PERCENT|IMPACTFAILED.DAMAGE.DAMAGE_PERCENT|IMPACTFAILED.DAMAGE.HIT_COUNT|IMPACTSUCCEED.DAMAGE.DAMAGE_FIRST_PERCENT|IMPACTSUCCEED.DAMAGE.DAMAGE_PERCENT|IMPACTSUCCEED.DAMAGE.HIT_COUNT|KNOCKBACK.STRENGTH"
"100101000G","chainSkillValues","2","0","","0","","","","IMPACTFAILED.DAMAGE.DAMAGE_FIRST_PERCENT|IMPACTFAILED.DAMAGE.DAMAGE_PERCENT|IMPACTFAILED.DAMAGE.HIT_COUNT|IMPACTSUCCEED.DAMAGE.DAMAGE_FIRST_PERCENT|IMPACTSUCCEED.DAMAGE.DAMAGE_PERCENT|IMPACTSUCCEED.DAMAGE.HIT_COUNT|KNOCKBACK.STRENGTH"
"100101000G","chainSkillValues","3","0","","0","","","","IMPACTFAILED.DAMAGE.DAMAGE_FIRST_PERCENT|IMPACTFAILED.DAMAGE.DAMAGE_PERCENT|IMPACTFAILED.DAMAGE.HIT_COUNT|IMPACTSUCCEED.DAMAGE.DAMAGE_FIRST_PERCENT|IMPACTSUCCEED.DAMAGE.DAMAGE_PERCENT|IMPACTSUCCEED.DAMAGE.HIT_COUNT|KNOCKBACK.STRENGTH"
"100101000G","chainSkillValues","4","0","","0","","","","IMPACTFAILED.DAMAGE.DAMAGE_FIRST_PERCENT|IMPACTFAILED.DAMAGE.DAMAGE_PERCENT|IMPACTFAILED.DAMAGE.HIT_COUNT|IMPACTSUCCEED.DAMAGE.DAMAGE_FIRST_PERCENT|IMPACTSUCCEED.DAMAGE.DAMAGE_PERCENT|IMPACTSUCCEED.DAMAGE.HIT_COUNT|KNOCKBACK.STRENGTH"
"100101000G","chainSkillValues","5","0","","0","","","","IMPACTFAILED.DAMAGE.DAMAGE_FIRST_PERCENT|IMPACTFAILED.DAMAGE.DAMAGE_PERCENT|IMPACTFAILED.DAMAGE.HIT_COUNT|IMPACTSUCCEED.DAMAGE.DAMAGE_FIRST_PERCENT|IMPACTSUCCEED.DAMAGE.DAMAGE_PERCENT|IMPACTSUCCEED.DAMAGE.HIT_COUNT|KNOCKBACK.STRENGTH"
"100101000G","chainSkillValues","6","0","","0","","","","IMPACTFAILED.DAMAGE.DAMAGE_FIRST_PERCENT|IMPACTFAILED.DAMAGE.DAMAGE_PERCENT|IMPACTFAILED.DAMAGE.HIT_COUNT|IMPACTSUCCEED.DAMAGE.DAMAGE_FIRST_PERCENT|IMPACTSUCCEED.DAMAGE.DAMAGE_PERCENT|IMPACTSUCCEED.DAMAGE.HIT_COUNT|KNOCKBACK.STRENGTH"
"100101000G","chainSkillValues","7","0","","0","","","","IMPACTFAILED.DAMAGE.DAMAGE_FIRST_PERCENT|IMPACTFAILED.DAMAGE.DAMAGE_PERCENT|IMPACTFAILED.DAMAGE.HIT_COUNT|IMPACTSUCCEED.DAMAGE.DAMAGE_FIRST_PERCENT|IMPACTSUCCEED.DAMAGE.DAMAGE_PERCENT|IMPACTSUCCEED.DAMAGE.HIT_COUNT|KNOCKBACK.STRENGTH"
"100101000G","chainSkillValues","8","0","","0","","","","IMPACTFAILED.DAMAGE.DAMAGE_FIRST_PERCENT|IMPACTFAILED.DAMAGE.DAMAGE_PERCENT|IMPACTFAILED.DAMAGE.HIT_COUNT|IMPACTSUCCEED.DAMAGE.DAMAGE_FIRST_PERCENT|IMPACTSUCCEED.DAMAGE.DAMAGE_PERCENT|IMPACTSUCCEED.DAMAGE.HIT_COUNT|KNOCKBACK.STRENGTH"
"100101000G","chainSkillValues","9","0","","0","","","","IMPACTFAILED.DAMAGE.DAMAGE_FIRST_PERCENT|IMPACTFAILED.DAMAGE.DAMAGE_PERCENT|IMPACTFAILED.DAMAGE.HIT_COUNT|IMPACTSUCCEED.DAMAGE.DAMAGE_FIRST_PERCENT|IMPACTSUCCEED.DAMAGE.DAMAGE_PERCENT|IMPACTSUCCEED.DAMAGE.HIT_COUNT|KNOCKBACK.STRENGTH"
"100101000G","chainSkillValues","10","0","","0","","","","IMPACTFAILED.DAMAGE.DAMAGE_FIRST_PERCENT|IMPACTFAILED.DAMAGE.DAMAGE_PERCENT|IMPACTFAILED.DAMAGE.HIT_COUNT|IMPACTSUCCEED.DAMAGE.DAMAGE_FIRST_PERCENT|IMPACTSUCCEED.DAMAGE.DAMAGE_PERCENT|IMPACTSUCCEED.DAMAGE.HIT_COUNT|KNOCKBACK.STRENGTH"
"100201000G","actionSkillValues","1","0","","0","","","1","PRJCTL.LAND.DAMAGE.DAMAGE_FIRST_PERCENT|PRJCTL.LAND.DAMAGE.DAMAGE_PERCENT|PRJCTL.LAND.DAMAGE.HIT_COUNT|PRJCTL.LAND.KNOCKBACK.STRENGTH|PRJCTL.TARGET_COUNT|PRJCTL.THROW_COUNT"
"100201000G","actionSkillValues","2","0","","0","","","1","PRJCTL.LAND.DAMAGE.DAMAGE_FIRST_PERCENT|PRJCTL.LAND.DAMAGE.DAMAGE_PERCENT|PRJCTL.LAND.DAMAGE.HIT_COUNT|PRJCTL.LAND.KNOCKBACK.STRENGTH|PRJCTL.TARGET_COUNT|PRJCTL.THROW_COUNT"
"100201000G","actionSkillValues","3","0","","0","","","1","PRJCTL.LAND.DAMAGE.DAMAGE_FIRST_PERCENT|PRJCTL.LAND.DAMAGE.DAMAGE_PERCENT|PRJCTL.LAND.DAMAGE.HIT_COUNT|PRJCTL.LAND.KNOCKBACK.STRENGTH|PRJCTL.TARGET_COUNT|PRJCTL.THROW_COUNT"
"100201000G","actionSkillValues","4","0","","0","","","1","PRJCTL.LAND.DAMAGE.DAMAGE_FIRST_PERCENT|PRJCTL.LAND.DAMAGE.DAMAGE_PERCENT|PRJCTL.LAND.DAMAGE.HIT_COUNT|PRJCTL.LAND.KNOCKBACK.STRENGTH|PRJCTL.TARGET_COUNT|PRJCTL.THROW_COUNT"
"100201000G","actionSkillValues","5","0","","0","","","1","PRJCTL.LAND.DAMAGE.DAMAGE_FIRST_PERCENT|PRJCTL.LAND.DAMAGE.DAMAGE_PERCENT|PRJCTL.LAND.DAMAGE.HIT_COUNT|PRJCTL.LAND.KNOCKBACK.STRENGTH|PRJCTL.TARGET_COUNT|PRJCTL.THROW_COUNT"
"100201000G","actionSkillValues","6","0","","0","","","1","PRJCTL.LAND.DAMAGE.DAMAGE_FIRST_PERCENT|PRJCTL.LAND.DAMAGE.DAMAGE_PERCENT|PRJCTL.LAND.DAMAGE.HIT_COUNT|PRJCTL.LAND.KNOCKBACK.STRENGTH|PRJCTL.TARGET_COUNT|PRJCTL.THROW_COUNT"
"100201000G","actionSkillValues","7","0","","0","","","1","PRJCTL.LAND.DAMAGE.DAMAGE_FIRST_PERCENT|PRJCTL.LAND.DAMAGE.DAMAGE_PERCENT|PRJCTL.LAND.DAMAGE.HIT_COUNT|PRJCTL.LAND.KNOCKBACK.STRENGTH|PRJCTL.TARGET_COUNT|PRJCTL.THROW_COUNT"
"100201000G","actionSkillValues","8","0","","0","","","1","PRJCTL.LAND.DAMAGE.DAMAGE_FIRST_PERCENT|PRJCTL.LAND.DAMAGE.DAMAGE_PERCENT|PRJCTL.LAND.DAMAGE.HIT_COUNT|PRJCTL.LAND.KNOCKBACK.STRENGTH|PRJCTL.TARGET_COUNT|PRJCTL.THROW_COUNT"
"100201000G","actionSkillValues","9","0","","0","","","1","PRJCTL.LAND.DAMAGE.DAMAGE_FIRST_PERCENT|PRJCTL.LAND.DAMAGE.DAMAGE_PERCENT|PRJCTL.LAND.DAMAGE.HIT_COUNT|PRJCTL.LAND.KNOCKBACK.STRENGTH|PRJCTL.TARGET_COUNT|PRJCTL.THROW_COUNT"
"100201000G","actionSkillValues","10","0","","0","","","1","PRJCTL.LAND.DAMAGE.DAMAGE_FIRST_PERCENT|PRJCTL.LAND.DAMAGE.DAMAGE_PERCENT|PRJCTL.LAND.DAMAGE.HIT_COUNT|PRJCTL.LAND.KNOCKBACK.STRENGTH|PRJCTL.TARGET_COUNT|PRJCTL.THROW_COUNT"
"100201000G","chainSkillValues","1","0","","0","","","1","ATTACKUP.DURATION|ATTACKUP.RATE_PERCENT|PRJCTL.LAND.DAMAGE.DAMAGE_FIRST_PERCENT|PRJCTL.LAND.DAMAGE.DAMAGE_PERCENT|PRJCTL.LAND.DAMAGE.HIT_COUNT|PRJCTL.LAND.KNOCKBACK.STRENGTH|PRJCTL.TARGET_COUNT|PRJCTL.THROW_COUNT"
"100201000G","chainSkillValues","2","0","","0","","","1","ATTACKUP.DURATION|ATTACKUP.RATE_PERCENT|PRJCTL.LAND.DAMAGE.DAMAGE_FIRST_PERCENT|PRJCTL.LAND.DAMAGE.DAMAGE_PERCENT|PRJCTL.LAND.DAMAGE.HIT_COUNT|PRJCTL.LAND.KNOCKBACK.STRENGTH|PRJCTL.TARGET_COUNT|PRJCTL.THROW_COUNT"
"100201000G","chainSkillValues","3","0","","0","","","1","ATTACKUP.DURATION|ATTACKUP.RATE_PERCENT|PRJCTL.LAND.DAMAGE.DAMAGE_FIRST_PERCENT|PRJCTL.LAND.DAMAGE.DAMAGE_PERCENT|PRJCTL.LAND.DAMAGE.HIT_COUNT|PRJCTL.LAND.KNOCKBACK.STRENGTH|PRJCTL.TARGET_COUNT|PRJCTL.THROW_COUNT"
"100201000G","chainSkillValues","4","0","","0","","","1","ATTACKUP.DURATION|ATTACKUP.RATE_PERCENT|PRJCTL.LAND.DAMAGE.DAMAGE_FIRST_PERCENT|PRJCTL.LAND.DAMAGE.DAMAGE_PERCENT|PRJCTL.LAND.DAMAGE.HIT_COUNT|PRJCTL.LAND.KNOCKBACK.STRENGTH|PRJCTL.TARGET_COUNT|PRJCTL.THROW_COUNT"
"100201000G","chainSkillValues","5","0","","0","","","1","ATTACKUP.DURATION|ATTACKUP.RATE_PERCENT|PRJCTL.LAND.DAMAGE.DAMAGE_FIRST_PERCENT|PRJCTL.LAND.DAMAGE.DAMAGE_PERCENT|PRJCTL.LAND.DAMAGE.HIT_COUNT|PRJCTL.LAND.KNOCKBACK.STRENGTH|PRJCTL.TARGET_COUNT|PRJCTL.THROW_COUNT"
"100201000G","chainSkillValues","6","0","","0","","","1","ATTACKUP.DURATION|ATTACKUP.RATE_PERCENT|PRJCTL.LAND.DAMAGE.DAMAGE_FIRST_PERCENT|PRJCTL.LAND.DAMAGE.DAMAGE_PERCENT|PRJCTL.LAND.DAMAGE.HIT_COUNT|PRJCTL.LAND.KNOCKBACK.STRENGTH|PRJCTL.TARGET_COUNT|PRJCTL.THROW_COUNT"
"100201000G","chainSkillValues","7","0","","0","","","1","ATTACKUP.DURATION|ATTACKUP.RATE_PERCENT|PRJCTL.LAND.DAMAGE.DAMAGE_FIRST_PERCENT|PRJCTL.LAND.DAMAGE.DAMAGE_PERCENT|PRJCTL.LAND.DAMAGE.HIT_COUNT|PRJCTL.LAND.KNOCKBACK.STRENGTH|PRJCTL.TARGET_COUNT|PRJCTL.THROW_COUNT"
"100201000G","chainSkillValues","8","0","","0","","","1","ATTACKUP.DURATION|ATTACKUP.RATE_PERCENT|PRJCTL.LAND.DAMAGE.DAMAGE_FIRST_PERCENT|PRJCTL.LAND.DAMAGE.DAMAGE_PERCENT|PRJCTL.LAND.DAMAGE.HIT_COUNT|PRJCTL.LAND.KNOCKBACK.STRENGTH|PRJCTL.TARGET_COUNT|PRJCTL.THROW_COUNT"
"100201000G","chainSkillValues","9","0","","0","","","1","ATTACKUP.DURATION|ATTACKUP.RATE_PERCENT|PRJCTL.LAND.DAMAGE.DAMAGE_FIRST_PERCENT|PRJCTL.LAND.DAMAGE.DAMAGE_PERCENT|PRJCTL.LAND.DAMAGE.HIT_COUNT|PRJCTL.LAND.KNOCKBACK.STRENGTH|PRJCTL.TARGET_COUNT|PRJCTL.THROW_COUNT"
"100201000G","chainSkillValues","10","0","","0","","","1","ATTACKUP.DURATION|ATTACKUP.RATE_PERCENT|PRJCTL.LAND.DAMAGE.DAMAGE_FIRST_PERCENT|PRJCTL.LAND.DAMAGE.DAMAGE_PERCENT|PRJCTL.LAND.DAMAGE.HIT_COUNT|PRJCTL.LAND.KNOCKBACK.STRENGTH|PRJCTL.TARGET_COUNT|PRJCTL.THROW_COUNT"
"100201001G","actionSkillValues","1","0","","0","","","1","PRJCTL.LAND.DAMAGE.DAMAGE_FIRST_PERCENT|PRJCTL.LAND.DAMAGE.DAMAGE_PERCENT|PRJCTL.LAND.DAMAGE.HIT_COUNT|PRJCTL.LAND.KNOCKBACK.STRENGTH|PRJCTL.TARGET_COUNT|PRJCTL.THROW_COUNT"
"100201001G","actionSkillValues","2","0","","0","","","1","PRJCTL.LAND.DAMAGE.DAMAGE_FIRST_PERCENT|PRJCTL.LAND.DAMAGE.DAMAGE_PERCENT|PRJCTL.LAND.DAMAGE.HIT_COUNT|PRJCTL.LAND.KNOCKBACK.STRENGTH|PRJCTL.TARGET_COUNT|PRJCTL.THROW_COUNT"
"100201001G","actionSkillValues","3","0","","0","","","1","PRJCTL.LAND.DAMAGE.DAMAGE_FIRST_PERCENT|PRJCTL.LAND.DAMAGE.DAMAGE_PERCENT|PRJCTL.LAND.DAMAGE.HIT_COUNT|PRJCTL.LAND.KNOCKBACK.STRENGTH|PRJCTL.TARGET_COUNT|PRJCTL.THROW_COUNT"
"100201001G","actionSkillValues","4","0","","0","","","1","PRJCTL.LAND.DAMAGE.DAMAGE_FIRST_PERCENT|PRJCTL.LAND.DAMAGE.DAMAGE_PERCENT|PRJCTL.LAND.DAMAGE.HIT_COUNT|PRJCTL.LAND.KNOCKBACK.STRENGTH|PRJCTL.TARGET_COUNT|PRJCTL.THROW_COUNT"
"100201001G","actionSkillValues","5","0","","0","","","1","PRJCTL.LAND.DAMAGE.DAMAGE_FIRST_PERCENT|PRJCTL.LAND.DAMAGE.DAMAGE_PERCENT|PRJCTL.LAND.DAMAGE.HIT_COUNT|PRJCTL.LAND.KNOCKBACK.STRENGTH|PRJCTL.TARGET_COUNT|PRJCTL.THROW_COUNT"
"100201001G","actionSkillValues","6","0","","0","","","1","PRJCTL.LAND.DAMAGE.DAMAGE_FIRST_PERCENT|PRJCTL.LAND.DAMAGE.DAMAGE_PERCENT|PRJCTL.LAND.DAMAGE.HIT_COUNT|PRJCTL.LAND.KNOCKBACK.STRENGTH|PRJCTL.TARGET_COUNT|PRJCTL.THROW_COUNT"
"100201001G","actionSkillValues","7","0","","0","","","1","PRJCTL.LAND.DAMAGE.DAMAGE_FIRST_PERCENT|PRJCTL.LAND.DAMAGE.DAMAGE_PERCENT|PRJCTL.LAND.DAMAGE.HIT_COUNT|PRJCTL.LAND.KNOCKBACK.STRENGTH|PRJCTL.TARGET_COUNT|PRJCTL.THROW_COUNT"
"100201001G","actionSkillValues","8","0","","0","","","1","PRJCTL.LAND.DAMAGE.DAMAGE_FIRST_PERCENT|PRJCTL.LAND.DAMAGE.DAMAGE_PERCENT|PRJCTL.LAND.DAMAGE.HIT_COUNT|PRJCTL.LAND.KNOCKBACK.STRENGTH|PRJCTL.TARGET_COUNT|PRJCTL.THROW_COUNT"
"100201001G","actionSkillValues","9","0","","0","","","1","PRJCTL.LAND.DAMAGE.DAMAGE_FIRST_PERCENT|PRJCTL.LAND.DAMAGE.DAMAGE_PERCENT|PRJCTL.LAND.DAMAGE.HIT_COUNT|PRJCTL.LAND.KNOCKBACK.STRENGTH|PRJCTL.TARGET_COUNT|PRJCTL.THROW_COUNT"
"100201001G","actionSkillValues","10","0","","0","","","1","PRJCTL.LAND.DAMAGE.DAMAGE_FIRST_PERCENT|PRJCTL.LAND.DAMAGE.DAMAGE_PERCENT|PRJCTL.LAND.DAMAGE.HIT_COUNT|PRJCTL.LAND.KNOCKBACK.STRENGTH|PRJCTL.TARGET_COUNT|PRJCTL.THROW_COUNT"
"100201001G","chainSkillValues","1","0","","0","","","1","ATTACKUP.DURATION|ATTACKUP.RATE_PERCENT|PRJCTL.LAND.DAMAGE.DAMAGE_FIRST_PERCENT|PRJCTL.LAND.DAMAGE.DAMAGE_PERCENT|PRJCTL.LAND.DAMAGE.HIT_COUNT|PRJCTL.LAND.KNOCKBACK.STRENGTH|PRJCTL.TARGET_COUNT|PRJCTL.THROW_COUNT"
"100201001G","chainSkillValues","2","0","","0","","","1","ATTACKUP.DURATION|ATTACKUP.RATE_PERCENT|PRJCTL.LAND.DAMAGE.DAMAGE_FIRST_PERCENT|PRJCTL.LAND.DAMAGE.DAMAGE_PERCENT|PRJCTL.LAND.DAMAGE.HIT_COUNT|PRJCTL.LAND.KNOCKBACK.STRENGTH|PRJCTL.TARGET_COUNT|PRJCTL.THROW_COUNT"
"100201001G","chainSkillValues","3","0","","0","","","1","ATTACKUP.DURATION|ATTACKUP.RATE_PERCENT|PRJCTL.LAND.DAMAGE.DAMAGE_FIRST_PERCENT|PRJCTL.LAND.DAMAGE.DAMAGE_PERCENT|PRJCTL.LAND.DAMAGE.HIT_COUNT|PRJCTL.LAND.KNOCKBACK.STRENGTH|PRJCTL.TARGET_COUNT|PRJCTL.THROW_COUNT"
"100201001G","chainSkillValues","4","0","","0","","","1","ATTACKUP.DURATION|ATTACKUP.RATE_PERCENT|PRJCTL.LAND.DAMAGE.DAMAGE_FIRST_PERCENT|PRJCTL.LAND.DAMAGE.DAMAGE_PERCENT|PRJCTL.LAND.DAMAGE.HIT_COUNT|PRJCTL.LAND.KNOCKBACK.STRENGTH|PRJCTL.TARGET_COUNT|PRJCTL.THROW_COUNT"
"100201001G","chainSkillValues","5","0","","0","","","1","ATTACKUP.DURATION|ATTACKUP.RATE_PERCENT|PRJCTL.LAND.DAMAGE.DAMAGE_FIRST_PERCENT|PRJCTL.LAND.DAMAGE.DAMAGE_PERCENT|PRJCTL.LAND.DAMAGE.HIT_COUNT|PRJCTL.LAND.KNOCKBACK.STRENGTH|PRJCTL.TARGET_COUNT|PRJCTL.THROW_COUNT"
"100201001G","chainSkillValues","6","0","","0","","","1","ATTACKUP.DURATION|ATTACKUP.RATE_PERCENT|PRJCTL.LAND.DAMAGE.DAMAGE_FIRST_PERCENT|PRJCTL.LAND.DAMAGE.DAMAGE_PERCENT|PRJCTL.LAND.DAMAGE.HIT_COUNT|PRJCTL.LAND.KNOCKBACK.STRENGTH|PRJCTL.TARGET_COUNT|PRJCTL.THROW_COUNT"
"100201001G","chainSkillValues","7","0","","0","","","1","ATTACKUP.DURATION|ATTACKUP.RATE_PERCENT|PRJCTL.LAND.DAMAGE.DAMAGE_FIRST_PERCENT|PRJCTL.LAND.DAMAGE.DAMAGE_PERCENT|PRJCTL.LAND.DAMAGE.HIT_COUNT|PRJCTL.LAND.KNOCKBACK.STRENGTH|PRJCTL.TARGET_COUNT|PRJCTL.THROW_COUNT"
"100201001G","chainSkillValues","8","0","","0","","","1","ATTACKUP.DURATION|ATTACKUP.RATE_PERCENT|PRJCTL.LAND.DAMAGE.DAMAGE_FIRST_PERCENT|PRJCTL.LAND.DAMAGE.DAMAGE_PERCENT|PRJCTL.LAND.DAMAGE.HIT_COUNT|PRJCTL.LAND.KNOCKBACK.STRENGTH|PRJCTL.TARGET_COUNT|PRJCTL.THROW_COUNT"
"100201001G","chainSkillValues","9","0","","0","","","1","ATTACKUP.DURATION|ATTACKUP.RATE_PERCENT|PRJCTL.LAND.DAMAGE.DAMAGE_FIRST_PERCENT|PRJCTL.LAND.DAMAGE.DAMAGE_PERCENT|PRJCTL.LAND.DAMAGE.HIT_COUNT|PRJCTL.LAND.KNOCKBACK.STRENGTH|PRJCTL.TARGET_COUNT|PRJCTL.THROW_COUNT"
"100201001G","chainSkillValues","10","0","","0","","","1","ATTACKUP.DURATION|ATTACKUP.RATE_PERCENT|PRJCTL.LAND.DAMAGE.DAMAGE_FIRST_PERCENT|PRJCTL.LAND.DAMAGE.DAMAGE_PERCENT|PRJCTL.LAND.DAMAGE.HIT_COUNT|PRJCTL.LAND.KNOCKBACK.STRENGTH|PRJCTL.TARGET_COUNT|PRJCTL.THROW_COUNT"
"100301000G","actionSkillValues","1","0","","0","","","1","PRJCTL.AOE.RECOVER.HEAL_PERCENT|PRJCTL.TARGET_COUNT|PRJCTL.THROW_COUNT"
"100301000G","actionSkillValues","2","0","","0","","","1","PRJCTL.AOE.RECOVER.HEAL_PERCENT|PRJCTL.TARGET_COUNT|PRJCTL.THROW_COUNT"
"100301000G","actionSkillValues","3","0","","0","","","1","PRJCTL.AOE.RECOVER.HEAL_PERCENT|PRJCTL.TARGET_COUNT|PRJCTL.THROW_COUNT"
"100301000G","actionSkillValues","4","0","","0","","","1","PRJCTL.AOE.RECOVER.HEAL_PERCENT|PRJCTL.TARGET_COUNT|PRJCTL.THROW_COUNT"
"100301000G","actionSkillValues","5","0","","0","","","1","PRJCTL.AOE.RECOVER.HEAL_PERCENT|PRJCTL.TARGET_COUNT|PRJCTL.THROW_COUNT"
"100301000G","actionSkillValues","6","0","","0","","","1","PRJCTL.AOE.RECOVER.HEAL_PERCENT|PRJCTL.TARGET_COUNT|PRJCTL.THROW_COUNT"
"100301000G","actionSkillValues","7","0","","0","","","1","PRJCTL.AOE.RECOVER.HEAL_PERCENT|PRJCTL.TARGET_COUNT|PRJCTL.THROW_COUNT"
"100301000G","actionSkillValues","8","0","","0","","","1","PRJCTL.AOE.RECOVER.HEAL_PERCENT|PRJCTL.TARGET_COUNT|PRJCTL.THROW_COUNT"
"100301000G","actionSkillValues","9","0","","0","","","1","PRJCTL.AOE.RECOVER.HEAL_PERCENT|PRJCTL.TARGET_COUNT|PRJCTL.THROW_COUNT"
"100301000G","actionSkillValues","10","0","","0","","","1","PRJCTL.AOE.RECOVER.HEAL_PERCENT|PRJCTL.TARGET_COUNT|PRJCTL.THROW_COUNT"
"100301000G","chainSkillValues","1","0","","0","","","1","PRJCTL.AOE.RECOVER.HEAL_PERCENT|PRJCTL.TARGET_COUNT|PRJCTL.THROW_COUNT"
"100301000G","chainSkillValues","2","0","","0","","","1","PRJCTL.AOE.RECOVER.HEAL_PERCENT|PRJCTL.TARGET_COUNT|PRJCTL.THROW_COUNT"
"100301000G","chainSkillValues","3","0","","0","","","1","PRJCTL.AOE.RECOVER.HEAL_PERCENT|PRJCTL.TARGET_COUNT|PRJCTL.THROW_COUNT"
"100301000G","chainSkillValues","4","0","","0","","","1","PRJCTL.AOE.RECOVER.HEAL_PERCENT|PRJCTL.TARGET_COUNT|PRJCTL.THROW_COUNT"
"100301000G","chainSkillValues","5","0","","0","","","1","PRJCTL.AOE.RECOVER.HEAL_PERCENT|PRJCTL.TARGET_COUNT|PRJCTL.THROW_COUNT"
"100301000G","chainSkillValues","6","0","","0","","","1","PRJCTL.AOE.RECOVER.HEAL_PERCENT|PRJCTL.TARGET_COUNT|PRJCTL.THROW_COUNT"
"100301000G","chainSkillValues","7","0","","0","","","1","PRJCTL.AOE.RECOVER.HEAL_PERCENT|PRJCTL.TARGET_COUNT|PRJCTL.THROW_COUNT"
"100301000G","chainSkillValues","8","0","","0","","","1","PRJCTL.AOE.RECOVER.HEAL_PERCENT|PRJCTL.TARGET_COUNT|PRJCTL.THROW_COUNT"
"100301000G","chainSkillValues","9","0","","0","","","1","PRJCTL.AOE.RECOVER.HEAL_PERCENT|PRJCTL.TARGET_COUNT|PRJCTL.THROW_COUNT"
"100301000G","chainSkillValues","10","0","","0","","","1","PRJCTL.AOE.RECOVER.HEAL_PERCENT|PRJCTL.TARGET_COUNT|PRJCTL.THROW_COUNT"
"100401000G","actionSkillValues","1","1","40","40","40","1","1","CRESTIMPACT.TARGET_COUNT|DAMAGE.DAMAGE_FIRST_PERCENT|DAMAGE.DAMAGE_PERCENT|DAMAGE.HIT_COUNT|KNOCKBACK.STRENGTH"
"100401000G","actionSkillValues","2","1","47.6","47.6","47.6","1","1","CRESTIMPACT.TARGET_COUNT|DAMAGE.DAMAGE_FIRST_PERCENT|DAMAGE.DAMAGE_PERCENT|DAMAGE.HIT_COUNT|KNOCKBACK.STRENGTH"
"100401000G","actionSkillValues","3","1","55.2","55.2","55.2","1","1","CRESTIMPACT.TARGET_COUNT|DAMAGE.DAMAGE_FIRST_PERCENT|DAMAGE.DAMAGE_PERCENT|DAMAGE.HIT_COUNT|KNOCKBACK.STRENGTH"
"100401000G","actionSkillValues","4","1","62.8","62.8","62.8","1","1","CRESTIMPACT.TARGET_COUNT|DAMAGE.DAMAGE_FIRST_PERCENT|DAMAGE.DAMAGE_PERCENT|DAMAGE.HIT_COUNT|KNOCKBACK.STRENGTH"
